date;Indigenous peoples;Conservation and indigenous people;Cambodia;Amnesty International;air travel;isPartial
2022-01-01;0;0;69;16;33;False
2022-01-02;0;0;55;8;80;False
2022-01-03;0;0;69;6;53;False
2022-01-04;0;0;67;8;62;False
2022-01-05;11;0;45;9;94;False
2022-01-06;0;0;74;0;72;False
2022-01-07;13;0;77;12;86;False
2022-01-08;0;0;77;15;75;False
2022-01-09;25;0;96;12;58;False
2022-01-10;0;0;64;11;100;False
2022-01-11;0;0;71;8;78;False
2022-01-12;5;0;55;0;86;False
2022-01-13;6;0;52;14;99;False
2022-01-14;0;0;53;9;95;False
2022-01-15;0;0;74;16;89;False
2022-01-16;0;0;73;26;93;False
2022-01-17;0;0;74;19;65;False
2022-01-18;0;0;58;30;78;False
2022-01-19;7;0;49;8;83;False
2022-01-20;0;0;68;13;47;False
2022-01-21;0;0;50;13;44;False
2022-01-22;0;0;75;5;64;False
2022-01-23;11;0;64;6;81;False
2022-01-24;11;0;69;19;88;False
2022-01-25;0;0;57;9;61;False
2022-01-26;5;0;62;16;78;False
2022-01-27;0;0;77;15;67;False
2022-01-28;0;0;54;16;63;False
2022-01-29;0;0;76;0;47;False
2022-01-30;0;0;54;10;86;False
2022-01-31;6;0;49;15;96;False
