date;Home schooling;Pupil behaviour;Education policy;Porto;air travel;isPartial
2022-01-01;1;0;2;33;7;False
2022-01-02;4;0;3;35;17;False
2022-01-03;3;0;1;36;12;False
2022-01-04;4;0;3;43;13;False
2022-01-05;4;0;5;34;19;False
2022-01-06;3;0;4;52;16;False
2022-01-07;10;0;5;42;20;False
2022-01-08;3;0;0;80;16;False
2022-01-09;2;0;5;61;12;False
2022-01-10;5;0;5;54;21;False
2022-01-11;5;0;2;48;18;False
2022-01-12;6;0;3;74;19;False
2022-01-13;0;0;3;37;23;False
2022-01-14;2;0;2;40;20;False
2022-01-15;0;2;0;49;19;False
2022-01-16;5;0;3;91;20;False
2022-01-17;3;0;5;50;14;False
2022-01-18;5;2;3;43;17;False
2022-01-19;4;0;4;41;18;False
2022-01-20;3;0;6;40;10;False
2022-01-21;2;3;0;51;9;False
2022-01-22;3;0;5;61;14;False
2022-01-23;2;1;2;91;18;False
2022-01-24;5;0;3;64;20;False
2022-01-25;2;1;4;58;13;False
2022-01-26;2;0;3;51;17;False
2022-01-27;2;0;4;42;15;False
2022-01-28;2;0;3;80;13;False
2022-01-29;0;0;0;62;10;False
2022-01-30;5;1;0;100;18;False
2022-01-31;2;0;10;66;21;False
