date;Farming;Migration;Employment;Human rights;air travel;isPartial
2022-01-01;61;9;22;12;6;False
2022-01-02;65;12;28;18;10;False
2022-01-03;63;10;41;23;10;False
2022-01-04;57;21;87;26;13;False
2022-01-05;53;19;80;29;13;False
2022-01-06;77;19;74;29;12;False
2022-01-07;60;18;79;22;13;False
2022-01-08;57;9;35;14;11;False
2022-01-09;56;16;36;19;11;False
2022-01-10;59;21;87;33;16;False
2022-01-11;59;25;86;31;12;False
2022-01-12;49;21;77;28;13;False
2022-01-13;56;22;85;30;15;False
2022-01-14;58;18;65;21;13;False
2022-01-15;52;17;35;18;12;False
2022-01-16;61;13;50;23;14;False
2022-01-17;62;24;77;28;8;False
2022-01-18;57;25;78;31;11;False
2022-01-19;50;21;85;26;11;False
2022-01-20;44;24;77;23;8;False
2022-01-21;51;22;67;22;7;False
2022-01-22;56;15;41;14;11;False
2022-01-23;57;14;41;20;12;False
2022-01-24;67;30;90;35;16;False
2022-01-25;52;27;84;29;9;False
2022-01-26;46;26;89;27;12;False
2022-01-27;42;22;84;28;10;False
2022-01-28;45;18;100;25;9;False
2022-01-29;52;15;37;14;10;False
2022-01-30;60;16;43;18;14;False
2022-01-31;54;22;97;24;14;False
