date;Loneliness;Pfizer;Travel insurance;Mobile phones;air travel;isPartial
2022-01-01;4;40;39;29;4;False
2022-01-02;6;43;50;30;8;False
2022-01-03;5;51;59;32;8;False
2022-01-04;2;56;72;37;10;False
2022-01-05;3;58;68;30;10;False
2022-01-06;3;55;72;28;9;False
2022-01-07;2;53;62;24;10;False
2022-01-08;4;55;74;28;8;False
2022-01-09;5;43;64;25;8;False
2022-01-10;5;49;81;28;12;False
2022-01-11;6;43;76;25;9;False
2022-01-12;4;40;73;23;10;False
2022-01-13;3;48;92;27;12;False
2022-01-14;3;34;73;28;10;False
2022-01-15;4;34;71;24;9;False
2022-01-16;3;32;84;26;10;False
2022-01-17;4;38;90;25;6;False
2022-01-18;4;33;80;23;8;False
2022-01-19;3;28;77;24;9;False
2022-01-20;4;33;67;21;6;False
2022-01-21;4;25;64;23;5;False
2022-01-22;3;23;65;26;8;False
2022-01-23;3;26;80;26;9;False
2022-01-24;5;27;97;28;12;False
2022-01-25;5;28;77;24;7;False
2022-01-26;4;25;82;22;9;False
2022-01-27;4;29;70;22;8;False
2022-01-28;3;26;70;21;7;False
2022-01-29;4;19;71;28;7;False
2022-01-30;4;24;80;31;11;False
2022-01-31;3;26;100;24;11;False
