date;climate change;africa economy;south africa;photography;air travel;isPartial
2022-01-01;8;0;45;40;3;False
2022-01-02;11;1;56;47;6;False
2022-01-03;10;0;83;52;5;False
2022-01-04;14;1;89;56;4;False
2022-01-05;17;0;91;50;7;False
2022-01-06;14;0;94;55;6;False
2022-01-07;14;1;52;55;6;False
2022-01-08;8;0;46;49;5;False
2022-01-09;10;0;54;55;3;False
2022-01-10;19;0;52;62;9;False
2022-01-11;20;0;92;58;6;False
2022-01-12;21;0;87;58;6;False
2022-01-13;18;1;100;56;7;False
2022-01-14;16;1;75;46;7;False
2022-01-15;9;0;49;53;6;False
2022-01-16;16;0;48;55;7;False
2022-01-17;20;0;43;60;4;False
2022-01-18;20;0;43;55;6;False
2022-01-19;18;0;79;50;6;False
2022-01-20;18;0;44;50;4;False
2022-01-21;15;0;84;54;3;False
2022-01-22;8;0;48;51;5;False
2022-01-23;15;0;95;54;6;False
2022-01-24;23;0;61;67;7;False
2022-01-25;18;1;46;61;4;False
2022-01-26;18;0;48;50;6;False
2022-01-27;18;1;39;51;5;False
2022-01-28;15;0;42;52;4;False
2022-01-29;7;0;43;48;5;False
2022-01-30;12;0;42;58;6;False
2022-01-31;18;0;43;56;8;False
