;index;Unnamed: 0.1;Unnamed: 0;Title;Date;Authors;Tags;NLP Keywords;Text;Url;Chat GPT
0;0;2080;2080;Sue Gray report: Boris Johnson 'sorry' after report says No 10 parties 'represent a serious failure' and 'difficult to justify';Monday 31 January 2022 19:25, UK;[];['boris johnson', 'downing street parties', 'sue gray report'];['gatherings', 'serious', 'parties', 'justify', 'downing', 'report', 'mr', 'mps', 'sue', 'gray', 'failure', 'video', 'street', 'represent', 'johnson', 'sorry'];"Downing Street lockdown gatherings represented a ""serious failure"" and are ""difficult to justify"", Sue Gray has said in a pared-back report following her investigation.

A limited version of the Cabinet Office inquiry by top civil servant Ms Gray has been made public after weeks of delay.

The 12-page document, which was pared back due to the Met Police investigating some of the gatherings, is likely to prove pivotal in determining the prime minister's future as he faces anger over the partygate scandal.

Boris Johnson apologised to the Commons and promised a shake-up of No 10, insisting: ""I get it and I will fix it.""

Updates and reaction as version of Gray report is released - politics live

Please use Chrome browser for a more accessible video player 4:16 Sue Gray report: Key points

Key points in the version of the Gray report include:

• 16 events in 2020 and 2021 were investigated - the Met Police are looking into 12 of them

• Some of the behaviour surrounding these gatherings is difficult to justify

• A number of the gatherings should not have been allowed to take place or to develop in the way that they did

• At least some gatherings represent a serious failure to observe not just the high standards expected of government but also of the standards expected of the entire population

• There were failures of leadership and judgment by different parts of No 10 and the Cabinet Office

• The garden at 10 Downing Street was also used for gatherings without clear authorisation or oversight. This was not appropriate

• Some staff wanted to raise concerns about behaviours they witnessed at work but at times felt unable to do so

• Steps must be taken to ensure every government department has a ""clear and robust"" policy over excessive alcohol consumption in the workplace - which is ""not appropriate""

Explainer: What's in the Sue Gray report and which Downing Street parties did she investigate?

Analysis: The hidden meanings behind Sue Gray findings

Analysis: Slight reprieve for Boris Johnson but Sue Gray clear full report needs to be published Beth Rigby Political editor @BethRigby Sue Gray's conclusion is clear in its criticism, and there is no getting away from it being bad for Boris Johnson, but it is also partial. As far as opposition sources are concerned the key line is on page five, where Sue Gray says it has not been possible to provide a ""meaningful report"" due to the limitations created by the ongoing Met police investigation. So when Sue Gray references the fact she has gathered significant evidence from 70 witnesses and concludes serious failures having been made, it puts the prime minister under huge pressure to commit to releasing the full document when the police investigation concludes. The prime minister is now going to have to go to parliament and explain all of this away. The partial nature of the report may have given him a slight reprieve, but Sue Gray has made clear there is a full picture waiting to be revealed to the British people. The opposition, and some in his own party, will want a commitment that will happen.

No 'meaningful report' at this stage

Last week, the Met Police launched a criminal investigation into potential breaches of COVID regulations in Downing Street and Whitehall and requested Ms Gray's report make only ""minimal reference"" to events it is looking at.

The 12 gatherings being looked into by the Met include an event that happened at the Downing Street flat on 13 November 2020, the night aides Dominic Cummings and Lee Cain left their Number 10 roles, and an event to mark the PM's birthday on 19 June 2020.

The Met Police revealed on Monday afternoon officers are reviewing ""at pace"" more than 300 images and 500 pages of information handed over by the Cabinet Office on Friday.

They said officers are now confirming which individuals need to be contacted for their account and will be issued with a fixed penalty notice if police deem them to have breached COVID regulations - which they can dispute in a magistrates' court.

Please use Chrome browser for a more accessible video player 1:09 PM's denials over No 10 parties

Ms Gray said the police investigation means she is ""extremely limited in what I can say"" so it is ""not possible at present to provide a meaningful report"" setting out all she has discovered

She said she has opted not to publish factual accounts of events not under investigation by police because to do so would damage her overall findings.

A No 10 spokesman said after the Met's investigation is complete, the PM will ask Ms Gray to update her work ""in light of what is found"" and that will be published.

PM apologises

Addressing MPs in the Commons, Mr Johnson said: ""I want to say sorry - and I'm sorry for the things we simply didn't get right and also sorry for the way this matter has been handled.

""It's no use saying this or that was within the rules and it's no use saying people were working hard. This pandemic was hard for everyone.""

Mr Johnson told MPs he was making changes to the way Downing Street and the Cabinet Office are run ""so that we can get on with the job that I was elected to do and the job that this government was elected to do"".

""First it is time to sort out what Sue Gray rightly calls the fragmented and complicated leadership structures of Downing Street which she says have not evolved sufficiently to meet the demands of the expansion of Number 10 and we will do that, including by creating an office of the prime minister with a permanent secretary to lead Number 10,"" he said.

Please use Chrome browser for a more accessible video player 1:26 Starmer: PM is 'a man without shame'

Finishing his statement, the PM said: ""I get it, and I will fix it. I want to say to the people of this country I know what the issue is.

""It is whether this government can be trusted to deliver, and I say 'yes we can be trusted to deliver'.""

Labour leader Sir Keir Starmer said: ""The prime minister must keep his promise to publish Sue Gray's report in full when it is available, but it is already clear what the report disclosed is the most damning conclusion possible.""

Mr Johnson reacted to Sir Keir by accusing him of failing to prosecute notorious sex offender Jimmy Savile while he was director of public prosecution, prompting Nazif Afzal, a former chief Crown prosecutor, to call the PM a ""disgrace"".

Tory MPs decide if they are supporting PM or not

The PM has come under increasing pressure to resign over the partygate revelations following the report's release.

Some of his backbenchers have already called for Mr Johnson to go, while a number of others have said they were waiting for the release of the Gray report before deciding whether to send a letter to the 1922 Committee of Tory MPs demanding a contest.

Please use Chrome browser for a more accessible video player 1:09 'Which was it?' May berates PM

Former cabinet minister and vice-chair of the Conservative Party Andrew Mitchell told the Commons the PM no longer has his backing.

Tory MP Tobias Ellwood said if Mr Johnson fails to publish the Sue Gray report in full ""he will no longer have my support"".

And former PM Theresa May said the report demonstrates that No 10 ""was not observing the regulations they had imposed on members of the public"".

She said this means her successor ""had not read the rules or didn't understand what they meant and others around him, or they didn't think the rules applied to Number 10"".

Please use Chrome browser for a more accessible video player 1:50 Ian Blackford kicked out of Commons

Opposition MPs call for Mr Johnson to go

Labour deputy leader Angela Rayner said the findings of Ms Gray's pared-back report are ""sickening"".

She told Sky News that Mr Johnson has ""lost the confidence of the British public"" and should resign.

Please use Chrome browser for a more accessible video player 0:38 'Patriotic duty' for MPs to oust PM

Lib Dem leader Sir Ed Davey called on Conservative MPs to do their ""patriotic duty"" and get rid of Mr Johnson.

""He must go before he does our country any more harm,"" he said.

Ian Blackford, the SNP's Westminster leader, said Mr Johnson's position was ""completely untenable"".

""The prime minister is guilty of breaking lockdown rules and misleading parliament. He must resign - or be removed from office,"" he said.

Mr Blackford accused the PM of lying to the Commons, for which he was ousted by the Speaker and was seen being escorted out by security.";https://web.archive.org/web/20220131200927/http://news.sky.com/story/sue-gray-report-boris-johnson-says-sorry-after-report-into-no-10-lockdown-parties-12525747;'ARTICLE-1: politics'
1;1;2081;2081;COVID-19: Health secretary announces review into mandatory jabs for NHS staff;Monday 31 January 2022 18:32, UK;[];['covid-19', 'coronavirus'];['health', 'secretary', 'mandatory', 'staff', 'review', 'covid19', 'announces', 'college', 'staffing', 'jabs', 'sajid', 'royal', 'nhs', 'javid', 'workers'];"The health secretary says a review will be launched into plans for mandatory coronavirus vaccinations for NHS staff.

Health workers in England are meant to be fully vaccinated against COVID-19 by April, but Sajid Javid has been under growing pressure to get rid of the rule.

Image: Health Secretary Sajid Javid meets staff in a COVID Intensive Care Unit at King's College Hospital in London

Speaking during a visit to the Port of Tilbury, in Essex this morning, Boris Johnson said he believes it is ""absolutely clear"" that NHS staff should get vaccinated.

The prime minister said: ""My view on NHS workers, everybody involved in looking after vulnerable people, all healthcare professionals should get a vaccine. That's absolutely clear.""

There were concerns that the sector could be left with a massive staffing crisis due to the number of workers choosing not to be vaccinated.

Advertisement

Both the Royal College of GPs and the Royal College of Nursing (RCN) had urged for the deadline to be postponed and the British Medical Association called for an ""urgent impact assessment"" on how the policy would affect staffing numbers.";https://web.archive.org/web/20220131200927/http://news.sky.com/story/covid-19-health-secretary-announces-review-into-mandatory-jabs-for-nhs-staff-12529546;'ARTICLE-2: health'
2;2;2082;2082;Russia-Ukraine tensions: UK laws could toughen sanctions on oligarchs and businesses significant to Kremlin;Monday 31 January 2022 19:20, UK;['samuel osborne', '@samuelosborne93'];['russia', 'ukraine'];['president', 'secretary', 'tensions', 'oligarchs', 'laws', 'businesses', 'toughen', 'sanctions', 'ukrainian', 'truss', 'russia', 'think', 'dont', 'uk', 'significant', 'kremlin', 'wallace', 'ukraine', 'russiaukraine'];"The foreign secretary has announced new legislation which could be used to toughen the UK's sanctions in response to the massing of Russian troops at Ukraine's border amid fears of an invasion.

Liz Truss said it means a much broader range of oligarchs and businesses could be sanctioned because of their significance to the Kremlin.

Until now, the UK was only able to sanction those linked to the destabilisation of Ukraine.

Image: 'Nothing is off the table and there will be nowhere to hide,' says Liz Truss

'Nothing is off the table'

""Whether you support Russia's aggressive actions against Ukraine, or you're of wider significance to the Kremlin, we will have the power to sanction you,"" Ms Truss said.

Advertisement

""Nothing is off the table and there will be nowhere to hide.

""This will amount to the toughest sanctions regime against Russia we have had in place yet, and mark the biggest change in our approach since leaving the European Union.""

Britain has so far imposed sanctions on around 180 people and 48 entities such Russia invaded Ukraine and annexed Crimea in 2014.

The prime minister's official spokesperson said: ""The Russian elite should be in no doubt that we have significant powers and will take them further, which will place massive pressure on them should they continue on this path of aggression.""

Image: Members of the Ukrainian armed forces drive tanks during military exercises outside Kharkiv

Kremlin says sanctions will backfire

It comes after the Kremlin said the UK's threats to impose economic sanctions were alarming and warned such actions would backfire by hurting British companies.

Kremlin spokesman Dmitry Peskov said the threat was an attack on Russian businesses. He said it undermined Britain's investment climate and inflamed tensions in Europe.

Mr Peskov told a briefing that Russia will respond to any such action in a way that would be based on its interests.

Image: US army instructors trains Ukrainian service members to operate a grenade launcher at a shooting range in Lviv region

PM and foreign secretary to meet Ukrainian president

Meanwhile, Downing Street has said Boris Johnson and Ms Truss will travel to Kyiv for talks with Ukrainian President Volodymyr Zelenskyy on Tuesday.

On Monday, the prime minister told reporters he will tell the leader to ""step back from the brink"".

Mr Johnson said further incursion into Ukraine would spell ""disaster for Russia"".

During a visit to the Port of Tilbury in Essex, the PM said: ""What I will say to the president, as I've said before, is that I think we really all need to step back from the brink and I think Russia needs to step back from the brink.

""I think that an invasion of Ukraine, any incursion into Ukraine beyond the territory that Russia has already taken in 2014 would be an absolute disaster for the world, but above all it would be a disaster for Russia.""

Image: Ukrainian tanks during drills outside Kharkiv

Defence secretary says eastern European countries will experience consequences of instability

Britain's Defence Secretary Ben Wallace has travelled to Hungary for talks with the country's defence minister, Tibor Benko.

Mr Wallace said: ""It's really important that President Putin hears from allies and friends across Europe our disquiet and our worries about what is happening in Ukraine. It's very important to deliver some clear messages.""

Please use Chrome browser for a more accessible video player 1:03 Far-right militia trains Ukrainian civilians to fight

Speaking in Budapest, Mr Wallace said countries such as Hungary need to tell Mr Putin they will experience direct consequences of any instability in the east.

""It is clear that we all are in agreement that we don't want instability, we don't want war in the east, we don't want casualties, we don't want migrant flows, we don't want high fuel prices and high food prices which would inevitably flow from any action.""

US President Joe Biden has said Washington is ready for any scenario.

Mr Biden said he had productive talks last week with Mr Zelenskyy and is continuing to engage in diplomacy aimed at ratcheting down tensions along the Ukraine border.

The UN Security Council will meet on Monday at America's request to discuss the ongoing tension on Russia's border with Ukraine.";https://web.archive.org/web/20220131200927/http://news.sky.com/story/russia-ukraine-tensions-uk-laws-could-toughen-sanctions-on-oligarchs-and-businesses-significant-to-kremlin-12529665;'ARTICLE-3: politics'
3;3;2084;2084;COVID-19: Care home visitor on pain of being separated from his wife;Monday 31 January 2022 18:43, UK;[];['covid-19'];['pain', 'care', 'tony', 'covid19', 'wifea', 'wife', 'sky', 'visitor', 'told', 'stopped', 'separated', 'unable', 'visit'];"COVID-19: Care home visitor on pain of being separated from his wife

A man whose wife is in a care home has told Sky of the difficulty of being stopped from seeing her during lockdown. Tony Broadbent said his day had ""no meaning"" when he was unable to visit his partner.";https://web.archive.org/web/20220131200927/http://news.sky.com/video/covid-19-care-home-visitor-on-pain-of-being-separated-from-his-wife-12529820;'ARTICLE-4: health'
4;4;2085;2085;Partygate: 'Does PM think I'm a fool?' - Tory MPs pile pressure on Boris Johnson;Monday 31 January 2022 19:33, UK;[];['downing street parties', 'sue gray report'];['pressure', 'office', 'pile', 'im', 'mps', 'judgment', 'fool', 'think', 'tory', 'does', 'partygate', 'leadership', 'johnson', 'restrictions'];"Partygate: 'Does PM think I'm a fool?' - Tory MPs pile pressure on Boris Johnson

Ms Gray criticised ""failures of leadership and judgment"" in No 10 and the Cabinet Office while England was under COVID restrictions in 2020 and 2021.";https://web.archive.org/web/20220131200927/http://news.sky.com/video/partygate-does-pm-think-im-a-fool-tory-mps-pile-pressure-on-boris-johnson-12529835;'ARTICLE-5: politics'
5;5;2087;2087;Partygate: Ian Blackford kicked out of Commons for accusing PM of misleading parliament;Monday 31 January 2022 16:28, UK;[];['downing street parties', 'sue gray report'];['prime', 'prove', 'parliament', 'kicked', 'misleading', 'scandal', 'blackford', 'version', 'office', 'pivotal', 'accusing', 'ms', 'parliamenta', 'partygate', 'commons', 'ian', 'public'];"Partygate: Ian Blackford kicked out of Commons for accusing PM of misleading parliament

A limited version of the Cabinet Office inquiry by Ms Gray has been made public, a document which is likely to prove pivotal in determining the prime minister's future as he faces anger over the partygate scandal.";https://web.archive.org/web/20220131200927/http://news.sky.com/video/partygate-ian-blackford-kicked-out-of-commons-for-accusing-pm-of-misleading-parliament-12529720;'ARTICLE-6: politics'
6;6;2088;2088;Joe Rogan, Spotify and COVID-19: What's the story?;Monday 31 January 2022 18:16, UK;[];['covid-19', 'spotify'];['rogan', 'rogans', 'covid19', 'young', 'sky', 'removed', 'storymusicians', 'spotify', 'protest', 'whats', 'joe', 'podcast'];"Explainer

Joe Rogan, Spotify and COVID-19: What's the story?

Musicians such as Neil Young and Joni Mitchell have removed their music from Spotify in protest over Joe Rogan's podcast. Sky news explains how we got here.";https://web.archive.org/web/20220131200927/http://news.sky.com/video/joe-rogan-spotify-and-covid-19-whats-the-story-12529794;'ARTICLE-7: health'
7;7;2089;2089;Sue Gray report: Theresa May demands to know why government broke lockdown rules;Monday 31 January 2022 16:20, UK;[];['downing street parties'];['prime', 'minister', 'report', 'broke', 'theresa', 'know', 'understood', 'rulesthe', 'sue', 'gray', 'lockdown', 'demands', 'rules'];"Sue Gray report: Theresa May demands to know why government broke lockdown rules

The former Prime Minister Theresa May asks Boris Johnson whether he understood the lockdown rules his government imposed on England - or whether he just chose to ignore them.";https://web.archive.org/web/20220131200927/http://news.sky.com/video/sue-gray-report-theresa-may-demands-to-know-why-government-broke-lockdown-rules-12529706;'ARTICLE-8: politics'
8;8;2090;2090;Partygate: Ed Davey says Tory MPs 'must stand up and be counted';Monday 31 January 2022 16:30, UK;[];['downing street parties'];['mps', 'report', 'patriotic', 'counted', 'tory', 'davey', 'sue', 'stand', 'partygate', 'rid', 'ed'];"Partygate: Ed Davey says Tory MPs 'must stand up and be counted'

Lib Dem leader Ed Davey says all Tory MPs must ""stand up and be counted"" and it is their ""patriotic duty"" to get rid of Boris Johnson after Sue Gray's report into lockdown parties highlighted a ""lack of leadership"".";https://web.archive.org/web/20220131200927/http://news.sky.com/video/partygate-ed-davey-says-tory-mps-must-stand-up-and-be-counted-12529669;'ARTICLE-9: politics'
9;9;2091;2091;What's in the Sue Gray report and which Downing Street parties did she investigate?;Monday 31 January 2022 17:29, UK;['lara keay', '@larakeay'];['sue gray report'];['gathering', 'reported', 'office', 'downing', 'report', '2020', 'evening', 'sue', 'gray', 'investigating', 'place', 'cabinet', 'parties', 'investigate', 'whats', 'street'];"The long-awaited Sue Gray report has concluded that some of the gatherings inside Downing Street and Whitehall during COVID restrictions ""should not have happened"" and represent a ""serious failure"" by the government.

The 12-page document published on Monday reveals that Ms Gray investigated 16 events over a 20-month period from 15 May 2020 to 16 April 2021.

She interviewed ""70 individuals...some more than once"" and examined emails, WhatsApp messages, photographs, and building entry logs, as well as searching official records.

PM says 'I get it and I will fix it'; follow live politics updates

Please use Chrome browser for a more accessible video player 5:15 Boris Johnson says 'I will fix it'

The senior civil servant concluded that ""some of the behaviour surrounding these gatherings is difficult to justify"", but it is not her place to preside over whether coronavirus laws were broken or not.

Advertisement

Instead the Met Police's probe, launched last week, will look at whether laws were broken at 12 of the 16 gatherings.

The remaining four ""are not considered to have reached the threshold for criminal investigation"".

Key findings from Sue Gray's report

Due to the Met's request for ""minimal reference"" to be made to the 12 events detectives are investigating, Ms Gray says it is ""not possible at present to provide a meaningful report setting out and analysing the extensive factual information"".

This may be published once the Met inquiry has concluded, however.

Here Sky News looks at which gatherings Sue Gray investigated, the ones the police are probing and what information is yet to be made public.

Please use Chrome browser for a more accessible video player 1:26 Starmer: PM is 'a man without shame'

According to the report, the following events were covered by Ms Gray:

15 May 2020: ""A photograph showing a number of groups in the garden of No 10 Downing Street""

Police investigating? No

The photo, published by The Guardian, showed Boris Johnson, his wife Carrie, principal private secretary Martin Reynolds and then-special adviser Dominic Cummings in the Downing Street garden.

Former health secretary Matt Hancock was also reported to be there, alongside around 20 other staff.

Sources claim they drank wine, ate food and the prime minister was there for 15 minutes when he said his colleagues deserved a drink for ""beating back coronavirus"".

Image: Principal private secretary to the prime minister, Martin Reynolds. Pic: UK Government

20 May 2020: ""A gathering in the garden of No 10 Downing Street for No 10 staff""

Police investigating: Yes

Reports of the ""bring your own booze"" party in the Downing Street garden on 20 May 2020 - just two months into the first lockdown - caused outrage.

First published by ITV News, the report revealed that the prime minister's principle private secretary Martin Reynolds emailed around 100 staff inviting them to ""some socially distanced drinks in the No 10 garden"".

It read: ""Hi all, after what has been an incredibly busy period we thought it would be nice to make the most of the lovely weather and have some socially distanced drinks in the No 10 garden this evening. Please join us from 6pm and bring your own booze!""

Just an hour before, Culture Secretary Oliver Dowden had appeared at a Downing Street news briefing and told people they could only meet one other person from outside their household.

Around 40 staff are thought to have attended, with the PM present for around 25 minutes, he said to ""thank staff"" for their work on the pandemic.

18 June 2020: ""A gathering in the Cabinet Office, 70 Whitehall on the departure of a No 10 private secretary""

Police investigating: Yes

No details have been released about a gathering at the Cabinet Office on 18 June 2020 - in either the media or in Ms Gray's report.

The Met have decided it meets the threshold to form part of their investigation, so details may be released when the force publishes its findings.

19 June 2020: ""A gathering in the Cabinet room in No 10 Downing Street on the prime minister's birthday""

Police investigating: Yes

On the afternoon of Boris Johnson's birthday in 2020, ITV News reported that several Number 10 staff gathered in the Cabinet room.

His wife Carrie Johnson allegedly presented him with a cake and everyone sung him Happy Birthday.

Later that day, ITV News claimed a number of the couple's family friends were hosted in the Downing Street flat.

Number 10 has repeatedly insisted the reports are ""totally untrue"" and that instead a maximum of six guests spent time in the garden that evening, in line with the rules at the time.

Image: Dominic Cummings leaving Downing Street for the last time on 13 November 2020

13 November 2020: ""A gathering in the No 10 flat""

Police investigating: Yes

Mr Johnson's former special adviser Dominic Cummings claimed that on his last day at Downing Street - during the second national lockdown in England - a party took place inside the prime minister's private flat.

Mr Cummings was pictured that evening leaving Number 10 with a box of his belongings and claims it happened after he left.

""A gathering in No 10 Downing Street on the departure of a special adviser""

Police investigating: Yes

The Times also claimed that on the same evening a leaving party was held for the PM's outgoing head of communications Lee Cain.

Mr Johnson was reported to have made a speech and Mr Cain was pictured wearing boxing gloves.

27 November 2020: ""A gathering in No 10 Downing Street on the departure of a special adviser""

Police investigating: No

During the second national lockdown, a leaving party was reported to have taken place for Cleo Watson, a former aide of Dominic Cummings.

The prime minister is reported to have made a speech at the gathering.

10 December 2020: ""A gathering in the Department for Education ahead of the Christmas break""

Police investigating: No

The Departure for Education has confirmed that a Christmas party was held inside their building on 10 December when London was in Tier 2 COVID restrictions.

It was attended by-then Education Secretary Gavin Williamson, the Daily Mirror reported at the time.

15 December 2020: ""A gathering in No 10 Downing Street for an online Christmas quiz""

Police investigating: No

The Sunday Mirror published a photograph of Boris Johnson taking part in an online Christmas quiz.

It showed him flanked by colleagues, while other staff in various groups were huddled together across the Downing Street complex.

The newspaper claimed alcohol was consumed during the quiz, which the PM hosted for around 10 or 15 minutes.

Image: Cabinet Secretary Simon Case

17 December 2020: ""A gathering in Cabinet Office, 70 Whitehall to hold an online Christmas quiz for the Cabinet Secretary's private office""

Police investigating: Yes

Cabinet Secretary Simon Case had to give the role of carrying out investigations into Downing Street parties to Sue Gray after it emerged one had taken place in his office.

The so-called ""Christmas party"" event involved six people working in the Cabinet Office and a further six working from home.

Although Mr Case did not take part, Sky News understands he walked through the room to get to his own private office.

Staff were reported to have enjoyed drinks and snacks throughout.

""A gathering in Cabinet Office, 70 Whitehall on the departure of a senior Cabinet Office official""

Police investigating: Yes

The same evening, leaving drinks took place in the Cabinet Office for the outgoing director-general of the COVID taskforce Kate Josephs.

Confirming the event took place and offering her apology, Ms Josephs wrote on Twitter: ""On the evening of 17 December, I gathered with colleagues that were at work that day, with drinks, in our office in the Cabinet Office, to mark my leaving the civil service.

""I am truly sorry I did this and for the anger that people will feel as a result.""

""A gathering in No 10 Downing Street on the departure of a No 10 official""

Police investigating: Yes

It was reported that leaving drinks took place at some point in December 2020 for the prime minister's defence aide Captain Steve Higham.

The date of the event was never confirmed and the Ministry of Defence declined to comment, but it could have taken place on 17 December.

Sky News understands Mr Johnson was ""there for a few minutes to thank him for his service"".

Please use Chrome browser for a more accessible video player 0:42 Allegra Stratton jokes about a cheese and wine night at a fake Downing Street news conference

18 December 2020: ""A gathering in No 10 Downing Street ahead of the Christmas break""

Police investigating: Yes

A Christmas cheese and wine evening is believed to have taken place inside Number 10 Downing Street on the evening of 18 December when London was in Tier 3 COVID restrictions.

Around 40 staff are thought to have been present, with Secret Santa gifts exchanged and awards handed out by Downing Street's director of communications and former Daily Mail journalist Jack Doyle.

Sky News understands people stayed until 2am.

It was this event that was joked about during a ""fake press conference"" given by then-adviser to Boris Johnson, Allegra Stratton. She resigned soon afterwards.

Image: Head of Downing Street communications Jack Doyle

14 January 2021: ""A gathering in No 10 Downing Street on the departure of two No 10 private secretaries""

Police investigating: Yes

There have been no details released of the events Sue Gray refers to on 14 January in the media or in her report.

Some may be published in the Met Police report as the Gray report says it met the threshold for criminal investigation and forms part of their probe.

Image: The Queen sits alone on 17 April 2021 at her husband's funeral. Pic: AP

16 April 2021: ""A gathering in No 10 Downing Street on the departure of No 10 official""

Police investigating: Yes

The Daily Telegraph first reported that two gatherings were held inside Number 10 the evening before the Queen was forced to sit alone at her husband Prince Philip's funeral.

They took place in separate parts of Downing Street but later came together - when COVID restrictions banned indoor mixing.

The first was a leaving party for the PM's then-head of communications James Slack - now deputy editor-in-chief at The Sun.

There were around 30 guests in total at both parties, with one involving a member of staff being sent to The Co-op on The Strand with a suitcase to fill with alcohol.

Reports claimed someone broke the PM's son's swing in the Downing Street garden, while one aide DJed for other staff.

Image: Former head of Downing Street communications James Slack

""A gathering in No 10 Downing Street on the departure of another No 10 official""

Police investigating: Yes

The other event in Downing Street that evening was a leaving party in an honour of one of the prime minister's official photographers.

Both events are believed to have lasted through to the early hours.

Boris Johnson was not at either event as he was staying at Chequers.";https://web.archive.org/web/20220131200927/http://news.sky.com/story/whats-in-the-sue-gray-report-and-which-downing-street-parties-did-she-investigate-12529353;'ARTICLE-10: politics'
