date;Secondary schools;Empire State Building, New York, US;gchq;Penny Mordaunt;air travel;isPartial
2022-01-02;3;0;1;0;2;False
2022-01-09;2;0;1;0;2;False
2022-01-16;3;0;1;1;2;False
2022-01-23;2;0;1;0;2;False
2022-01-30;2;0;1;0;2;False
2022-02-06;3;0;1;0;2;False
2022-02-13;2;0;1;0;2;False
2022-02-20;2;0;1;0;2;False
2022-02-27;4;0;1;1;2;False
2022-03-06;3;0;1;0;2;False
2022-03-13;3;0;1;0;2;False
2022-03-20;3;0;1;0;2;False
2022-03-27;2;0;1;0;2;False
2022-04-03;2;0;1;0;2;False
2022-04-10;1;0;0;0;2;False
2022-04-17;2;0;1;0;2;False
2022-04-24;2;0;1;0;2;False
2022-05-01;3;0;0;0;2;False
2022-05-08;3;0;1;0;2;False
2022-05-15;2;0;1;0;2;False
2022-05-22;2;0;1;0;2;False
2022-05-29;1;0;1;1;2;False
2022-06-05;2;0;1;2;2;False
2022-06-12;2;0;1;0;2;False
2022-06-19;2;0;1;0;2;False
2022-06-26;2;0;1;0;2;False
2022-07-03;2;0;2;18;2;False
2022-07-10;2;0;1;100;2;False
2022-07-17;2;0;1;19;2;False
2022-07-24;2;0;1;1;2;False
2022-07-31;1;0;1;1;2;False
2022-08-07;1;0;1;0;2;False
2022-08-14;2;0;1;0;2;False
2022-08-21;2;0;1;0;2;False
2022-08-28;3;0;1;0;2;False
2022-09-04;5;0;1;11;2;False
2022-09-11;4;0;1;2;2;False
2022-09-18;3;0;1;0;2;False
2022-09-25;3;0;1;0;2;False
2022-10-02;3;0;1;1;2;False
2022-10-09;3;0;1;2;1;False
2022-10-16;3;0;1;31;1;False
2022-10-23;2;0;1;21;1;False
2022-10-30;2;0;1;1;1;False
2022-11-06;2;0;1;1;1;False
2022-11-13;2;0;1;0;1;False
2022-11-20;2;0;1;0;1;False
2022-11-27;2;0;1;0;1;False
2022-12-04;2;0;1;0;1;False
2022-12-11;3;0;7;0;1;False
2022-12-18;1;0;1;0;1;False
2022-12-25;1;0;1;0;2;False
2023-01-01;2;0;1;0;2;False
2023-01-08;2;0;1;0;2;False
2023-01-15;2;0;1;0;2;False
2023-01-22;3;0;1;0;1;False
2023-01-29;2;0;1;0;2;False
