date;Sheffield Wednesday;Palestinian territories;Emergency services;Opioids crisis;air travel;isPartial
2022-01-02;27;0;5;0;11;False
2022-01-09;26;0;5;0;12;False
2022-01-16;26;0;4;0;10;False
2022-01-23;31;0;5;0;11;False
2022-01-30;37;0;5;0;12;False
2022-02-06;33;0;5;0;12;False
2022-02-13;41;0;4;0;12;False
2022-02-20;32;0;4;0;12;False
2022-02-27;34;0;4;0;11;False
2022-03-06;30;0;4;0;11;False
2022-03-13;33;0;4;0;11;False
2022-03-20;30;0;4;0;11;False
2022-03-27;28;0;4;0;12;False
2022-04-03;27;0;5;0;11;False
2022-04-10;34;0;4;0;9;False
2022-04-17;43;0;4;0;10;False
2022-04-24;51;0;4;0;11;False
2022-05-01;64;0;4;0;11;False
2022-05-08;89;0;4;0;11;False
2022-05-15;20;0;4;0;12;False
2022-05-22;15;0;4;0;11;False
2022-05-29;16;0;4;0;11;False
2022-06-05;17;0;5;0;13;False
2022-06-12;19;0;5;0;11;False
2022-06-19;29;0;3;0;10;False
2022-06-26;26;0;4;0;11;False
2022-07-03;26;0;5;0;12;False
2022-07-10;26;0;5;0;12;False
2022-07-17;32;0;4;0;12;False
2022-07-24;44;0;4;0;11;False
2022-07-31;34;0;5;0;10;False
2022-08-07;51;0;5;0;10;False
2022-08-14;40;0;5;0;10;False
2022-08-21;44;0;5;0;9;False
2022-08-28;48;0;5;0;9;False
2022-09-04;18;0;5;0;10;False
2022-09-11;39;0;4;0;9;False
2022-09-18;37;0;6;0;8;False
2022-09-25;29;0;4;0;9;False
2022-10-02;37;0;3;0;8;False
2022-10-09;28;0;4;0;8;False
2022-10-16;35;0;5;0;7;False
2022-10-23;39;0;4;0;7;False
2022-10-30;32;0;4;0;7;False
2022-11-06;42;0;3;0;8;False
2022-11-13;28;0;5;0;6;False
2022-11-20;25;0;4;0;8;False
2022-11-27;30;0;3;0;8;False
2022-12-04;24;0;4;0;7;False
2022-12-11;28;0;5;0;7;False
2022-12-18;17;0;4;0;6;False
2022-12-25;44;0;3;0;8;False
2023-01-01;100;0;4;0;10;False
2023-01-08;43;0;4;0;9;False
2023-01-15;41;0;4;0;9;False
2023-01-22;44;0;4;0;8;False
2023-01-29;50;0;4;0;9;False
