date;Cross stitch;Mammals;Matt Hancock;Grayson Perry;air travel;isPartial
2022-01-02;4;1;1;1;2;False
2022-01-09;3;1;1;1;2;False
2022-01-16;2;1;2;1;2;False
2022-01-23;3;1;1;1;2;False
2022-01-30;3;1;1;0;2;False
2022-02-06;3;1;1;1;2;False
2022-02-13;3;1;2;1;2;False
2022-02-20;3;1;1;1;2;False
2022-02-27;3;1;5;1;2;False
2022-03-06;2;1;1;1;2;False
2022-03-13;2;1;1;1;2;False
2022-03-20;2;1;1;2;2;False
2022-03-27;2;1;1;2;2;False
2022-04-03;2;0;1;1;2;False
2022-04-10;2;0;1;1;2;False
2022-04-17;2;0;1;1;2;False
2022-04-24;2;0;1;1;2;False
2022-05-01;2;0;1;1;2;False
2022-05-08;2;0;1;1;2;False
2022-05-15;2;0;0;1;2;False
2022-05-22;2;0;0;1;2;False
2022-05-29;2;0;0;1;2;False
2022-06-05;2;0;1;0;2;False
2022-06-12;2;0;0;0;2;False
2022-06-19;2;0;1;0;2;False
2022-06-26;2;0;1;1;2;False
2022-07-03;2;0;2;1;2;False
2022-07-10;2;0;1;0;2;False
2022-07-17;2;0;1;0;2;False
2022-07-24;2;0;0;0;2;False
2022-07-31;2;0;0;0;2;False
2022-08-07;2;0;0;0;2;False
2022-08-14;2;0;0;0;2;False
2022-08-21;2;0;0;0;2;False
2022-08-28;2;0;0;0;2;False
2022-09-04;2;0;1;1;2;False
2022-09-11;2;0;1;0;2;False
2022-09-18;3;0;0;0;2;False
2022-09-25;2;0;1;0;2;False
2022-10-02;2;0;1;0;2;False
2022-10-09;3;0;1;0;2;False
2022-10-16;2;0;2;0;1;False
2022-10-23;3;0;3;0;1;False
2022-10-30;3;0;36;0;1;False
2022-11-06;3;0;100;0;1;False
2022-11-13;3;0;41;0;1;False
2022-11-20;3;0;25;0;1;False
2022-11-27;3;0;40;1;1;False
2022-12-04;2;0;6;1;1;False
2022-12-11;2;0;2;0;1;False
2022-12-18;2;0;1;0;1;False
2022-12-25;3;0;3;2;2;False
2023-01-01;3;0;1;1;2;False
2023-01-08;3;0;1;1;2;False
2023-01-15;3;0;1;1;2;False
2023-01-22;3;0;4;3;2;False
2023-01-29;2;0;3;2;2;False
