date;Drugs;Torture;Heart disease;conservation;air travel;isPartial
2022-01-02;76;9;9;0;8;False
2022-01-09;70;9;10;0;9;False
2022-01-16;67;8;9;0;7;False
2022-01-23;73;8;11;0;8;False
2022-01-30;83;9;11;0;9;False
2022-02-06;72;9;11;0;9;False
2022-02-13;73;7;12;0;9;False
2022-02-20;75;8;10;0;9;False
2022-02-27;74;9;10;0;8;False
2022-03-06;75;8;12;0;8;False
2022-03-13;76;8;10;0;8;False
2022-03-20;88;9;11;0;8;False
2022-03-27;81;9;11;0;9;False
2022-04-03;66;9;9;0;8;False
2022-04-10;73;9;8;0;7;False
2022-04-17;73;10;9;0;8;False
2022-04-24;74;9;10;0;8;False
2022-05-01;82;9;10;0;8;False
2022-05-08;79;8;10;0;8;False
2022-05-15;77;9;11;0;9;False
2022-05-22;70;9;9;0;8;False
2022-05-29;65;8;7;0;8;False
2022-06-05;100;8;9;0;9;False
2022-06-12;74;8;8;0;8;False
2022-06-19;70;7;8;0;8;False
2022-06-26;68;7;8;0;8;False
2022-07-03;63;9;8;0;9;False
2022-07-10;60;9;7;0;9;False
2022-07-17;55;8;7;0;8;False
2022-07-24;58;8;7;0;8;False
2022-07-31;64;8;7;0;8;False
2022-08-07;64;9;7;0;7;False
2022-08-14;62;9;6;0;7;False
2022-08-21;69;9;7;0;6;False
2022-08-28;66;9;7;0;7;False
2022-09-04;65;8;16;0;7;False
2022-09-11;60;9;8;0;6;False
2022-09-18;57;8;8;0;6;False
2022-09-25;70;8;9;0;6;False
2022-10-02;76;9;10;0;6;False
2022-10-09;76;8;10;0;6;False
2022-10-16;72;8;10;0;5;False
2022-10-23;65;9;9;0;5;False
2022-10-30;70;9;9;0;5;False
2022-11-06;74;9;10;0;5;False
2022-11-13;70;8;10;0;5;False
2022-11-20;59;7;9;0;6;False
2022-11-27;72;8;9;0;6;False
2022-12-04;64;8;9;0;5;False
2022-12-11;62;8;7;0;5;False
2022-12-18;63;8;7;0;5;False
2022-12-25;55;8;6;0;6;False
2023-01-01;64;7;9;0;7;False
2023-01-08;87;9;10;0;7;False
2023-01-15;75;9;10;0;6;False
2023-01-22;81;8;11;0;6;False
2023-01-29;77;7;11;0;6;False
