date;University of Reading;Workers' rights;Food waste;Unilever;air travel;isPartial
2022-01-02;18;2;30;37;39;False
2022-01-09;19;2;0;57;45;False
2022-01-16;15;4;26;100;34;False
2022-01-23;17;3;24;89;37;False
2022-01-30;17;2;25;54;42;False
2022-02-06;18;2;0;62;42;False
2022-02-13;14;3;0;51;43;False
2022-02-20;16;3;28;50;43;False
2022-02-27;17;4;0;48;38;False
2022-03-06;14;4;0;63;40;False
2022-03-13;17;4;0;52;39;False
2022-03-20;16;4;25;49;38;False
2022-03-27;15;5;0;45;41;False
2022-04-03;13;3;25;40;37;False
2022-04-10;12;2;26;33;32;False
2022-04-17;13;3;25;37;36;False
2022-04-24;17;4;28;44;37;False
2022-05-01;16;3;24;39;38;False
2022-05-08;14;4;24;38;39;False
2022-05-15;16;3;28;39;41;False
2022-05-22;13;4;27;38;39;False
2022-05-29;11;2;21;37;39;False
2022-06-05;14;3;25;37;44;False
2022-06-12;15;4;25;42;38;False
2022-06-19;12;3;22;41;36;False
2022-06-26;16;3;26;41;38;False
2022-07-03;14;2;21;38;40;False
2022-07-10;14;3;23;41;42;False
2022-07-17;15;4;23;38;40;False
2022-07-24;12;3;28;50;39;False
2022-07-31;13;2;25;36;35;False
2022-08-07;13;2;23;39;34;False
2022-08-14;23;2;24;38;34;False
2022-08-21;17;2;25;35;29;False
2022-08-28;14;3;30;30;32;False
2022-09-04;21;10;25;38;35;False
2022-09-11;21;4;27;34;30;False
2022-09-18;21;5;27;36;30;False
2022-09-25;25;4;26;44;30;False
2022-10-02;24;6;26;37;29;False
2022-10-09;22;3;24;40;28;False
2022-10-16;22;3;27;40;25;False
2022-10-23;19;4;24;48;23;False
2022-10-30;16;3;29;45;23;False
2022-11-06;17;4;27;44;26;False
2022-11-13;15;5;24;43;22;False
2022-11-20;15;6;23;42;27;False
2022-11-27;17;4;24;43;27;False
2022-12-04;18;4;21;41;23;False
2022-12-11;13;3;21;36;23;False
2022-12-18;9;3;17;32;22;False
2022-12-25;7;3;20;23;29;False
2023-01-01;13;3;26;33;34;False
2023-01-08;18;4;24;44;31;False
2023-01-15;18;3;28;47;30;False
2023-01-22;19;3;25;40;28;False
2023-01-29;15;3;28;43;30;False
