date;roads;Transition towns;Mexican food and drink;Land ownership;air travel;isPartial
2022-01-02;40;0;0;2;18;False
2022-01-09;45;0;0;2;19;False
2022-01-16;48;0;0;2;15;False
2022-01-23;49;0;0;3;16;False
2022-01-30;52;0;0;2;19;False
2022-02-06;45;0;0;2;19;False
2022-02-13;62;0;0;1;19;False
2022-02-20;62;0;0;2;19;False
2022-02-27;44;0;0;2;17;False
2022-03-06;44;0;0;2;18;False
2022-03-13;45;0;0;2;17;False
2022-03-20;48;0;0;2;17;False
2022-03-27;44;0;0;2;18;False
2022-04-03;48;0;0;2;17;False
2022-04-10;44;0;0;2;14;False
2022-04-17;44;0;0;2;16;False
2022-04-24;42;0;0;2;16;False
2022-05-01;43;0;0;2;17;False
2022-05-08;45;0;0;2;17;False
2022-05-15;51;0;0;2;18;False
2022-05-22;54;0;0;2;17;False
2022-05-29;61;0;0;1;18;False
2022-06-05;48;0;0;2;20;False
2022-06-12;48;0;0;2;17;False
2022-06-19;51;0;0;2;16;False
2022-06-26;48;0;0;2;17;False
2022-07-03;49;0;0;2;18;False
2022-07-10;51;0;0;2;19;False
2022-07-17;57;0;0;2;18;False
2022-07-24;59;0;0;2;18;False
2022-07-31;55;0;0;2;16;False
2022-08-07;55;0;0;2;15;False
2022-08-14;50;0;0;2;15;False
2022-08-21;48;0;0;2;13;False
2022-08-28;46;0;0;2;14;False
2022-09-04;50;0;0;3;16;False
2022-09-11;62;0;0;2;14;False
2022-09-18;56;0;0;2;13;False
2022-09-25;43;0;0;2;13;False
2022-10-02;45;0;0;2;13;False
2022-10-09;41;0;0;2;12;False
2022-10-16;42;0;0;2;11;False
2022-10-23;45;0;0;2;10;False
2022-10-30;47;0;0;2;10;False
2022-11-06;48;0;0;2;12;False
2022-11-13;53;0;0;2;10;False
2022-11-20;41;0;0;2;12;False
2022-11-27;42;0;0;2;12;False
2022-12-04;47;0;0;1;10;False
2022-12-11;100;0;0;1;10;False
2022-12-18;46;0;0;2;10;False
2022-12-25;45;0;0;1;13;False
2023-01-01;42;0;0;2;15;False
2023-01-08;48;0;0;2;14;False
2023-01-15;68;0;0;2;14;False
2023-01-22;50;0;0;2;12;False
2023-01-29;47;0;0;2;13;False
