date;Business;Defamation law;ChatGPT;Panama;air travel;isPartial
2022-01-02;80;0;0;2;1;False
2022-01-09;82;0;0;2;1;False
2022-01-16;86;0;0;2;1;False
2022-01-23;91;0;0;2;1;False
2022-01-30;95;0;0;2;1;False
2022-02-06;87;0;0;1;1;False
2022-02-13;78;0;0;2;1;False
2022-02-20;80;0;0;2;1;False
2022-02-27;87;0;0;2;1;False
2022-03-06;89;0;0;2;1;False
2022-03-13;89;0;0;2;1;False
2022-03-20;87;0;0;2;1;False
2022-03-27;87;0;0;3;1;False
2022-04-03;81;0;0;2;1;False
2022-04-10;70;0;0;2;1;False
2022-04-17;76;0;0;5;1;False
2022-04-24;79;0;0;3;1;False
2022-05-01;85;0;0;2;1;False
2022-05-08;87;0;0;2;1;False
2022-05-15;92;0;0;2;1;False
2022-05-22;86;0;0;2;1;False
2022-05-29;65;0;0;2;1;False
2022-06-05;84;0;0;2;1;False
2022-06-12;82;0;0;2;1;False
2022-06-19;83;0;0;2;1;False
2022-06-26;77;0;0;2;1;False
2022-07-03;76;0;0;2;1;False
2022-07-10;77;0;0;2;1;False
2022-07-17;74;0;0;2;1;False
2022-07-24;75;0;0;2;1;False
2022-07-31;78;0;0;2;1;False
2022-08-07;77;0;0;2;1;False
2022-08-14;72;0;0;2;1;False
2022-08-21;76;0;0;2;1;False
2022-08-28;71;0;0;2;1;False
2022-09-04;86;0;0;1;1;False
2022-09-11;90;0;0;2;1;False
2022-09-18;80;0;0;1;1;False
2022-09-25;88;0;0;2;1;False
2022-10-02;87;0;0;1;1;False
2022-10-09;88;0;0;1;1;False
2022-10-16;87;0;0;2;1;False
2022-10-23;79;0;0;1;1;False
2022-10-30;93;0;0;2;1;False
2022-11-06;88;0;0;2;1;False
2022-11-13;95;0;0;2;1;False
2022-11-20;78;0;0;2;1;False
2022-11-27;84;0;1;2;1;False
2022-12-04;79;0;13;2;1;False
2022-12-11;77;0;18;1;1;False
2022-12-18;68;0;7;2;1;False
2022-12-25;46;0;6;2;1;False
2023-01-01;80;0;14;2;1;False
2023-01-08;100;0;22;2;1;False
2023-01-15;99;0;24;2;1;False
2023-01-22;92;0;26;2;1;False
2023-01-29;97;0;32;2;1;False
