date;Discrimination at work;Utilities;Research publishing;Madagascar;air travel;isPartial
2023-01-01;0;26;0;100;18;False
2023-01-02;0;37;0;31;22;False
2023-01-03;0;53;0;30;14;False
2023-01-04;1;48;0;31;21;False
2023-01-05;3;62;0;26;18;False
2023-01-06;1;51;0;27;18;False
2023-01-07;0;32;0;37;13;False
2023-01-08;0;30;0;32;20;False
2023-01-09;0;63;0;25;12;False
2023-01-10;0;63;2;28;19;False
2023-01-11;2;65;1;30;22;False
2023-01-12;2;50;2;34;18;False
2023-01-13;3;49;0;29;14;False
2023-01-14;0;35;0;27;14;False
2023-01-15;0;24;0;72;16;False
2023-01-16;2;59;0;33;17;False
2023-01-17;0;61;2;25;13;False
2023-01-18;2;55;0;34;19;False
2023-01-19;2;57;2;35;18;False
2023-01-20;0;51;2;27;14;False
2023-01-21;0;31;0;49;15;False
2023-01-22;0;39;0;32;17;False
2023-01-23;4;56;2;46;17;False
2023-01-24;0;55;0;27;13;False
2023-01-25;4;57;0;26;18;False
2023-01-26;4;54;0;31;16;False
2023-01-27;1;52;0;29;11;False
2023-01-28;0;31;0;32;16;False
2023-01-29;0;31;0;32;15;False
2023-01-30;3;70;0;28;24;False
2023-01-31;2;60;0;40;20;False
