date;Richard Marles;Generational inequality;Taliban;Life and style;air travel;isPartial
2022-01-02;0;0;26;2;64;False
2022-01-09;0;0;29;1;70;False
2022-01-16;0;0;31;3;54;False
2022-01-23;0;0;35;2;60;False
2022-01-30;0;0;33;2;68;False
2022-02-06;0;0;32;1;68;False
2022-02-13;0;0;23;1;68;False
2022-02-20;0;0;87;2;69;False
2022-02-27;1;0;71;1;61;False
2022-03-06;2;0;34;2;64;False
2022-03-13;0;0;27;2;64;False
2022-03-20;0;0;28;2;62;False
2022-03-27;1;0;25;1;66;False
2022-04-03;0;0;23;3;60;False
2022-04-10;0;0;16;1;52;False
2022-04-17;1;0;21;1;58;False
2022-04-24;0;0;22;1;60;False
2022-05-01;0;0;34;1;62;False
2022-05-08;0;0;35;1;63;False
2022-05-15;0;0;23;1;66;False
2022-05-22;0;0;55;3;62;False
2022-05-29;0;0;20;2;64;False
2022-06-05;1;0;20;3;71;False
2022-06-12;0;0;17;1;62;False
2022-06-19;1;0;40;2;58;False
2022-06-26;0;0;26;0;62;False
2022-07-03;0;0;18;2;65;False
2022-07-10;0;0;23;3;68;False
2022-07-17;0;0;16;3;64;False
2022-07-24;1;0;18;2;64;False
2022-07-31;0;0;32;2;57;False
2022-08-07;0;0;24;1;56;False
2022-08-14;1;0;42;2;55;False
2022-08-21;0;0;22;3;48;False
2022-08-28;0;0;21;2;52;False
2022-09-04;0;0;21;4;57;False
2022-09-11;1;0;23;3;49;False
2022-09-18;0;0;28;1;47;False
2022-09-25;0;0;18;2;48;False
2022-10-02;0;0;21;2;46;False
2022-10-09;2;0;25;2;44;False
2022-10-16;0;0;18;3;41;False
2022-10-23;0;0;21;1;38;False
2022-10-30;0;0;19;2;37;False
2022-11-06;0;0;21;2;42;False
2022-11-13;1;0;24;3;35;False
2022-11-20;0;0;22;2;44;False
2022-11-27;1;0;23;4;43;False
2022-12-04;0;0;26;3;37;False
2022-12-11;0;0;21;3;38;False
2022-12-18;1;0;50;2;35;False
2022-12-25;1;0;36;0;46;False
2023-01-01;0;0;96;1;54;False
2023-01-08;0;0;100;2;50;False
2023-01-15;1;0;42;3;49;False
2023-01-22;0;0;25;2;45;False
2023-01-29;0;0;28;2;49;False
