date;Joanna Lumley;Julia Roberts;Automotive industry;Consumer spending;air travel;isPartial
2022-01-02;37;48;4;1;38;False
2022-01-09;17;30;4;2;43;False
2022-01-16;19;37;3;1;32;False
2022-01-23;22;30;3;2;35;False
2022-01-30;27;33;3;2;40;False
2022-02-06;12;27;3;2;40;False
2022-02-13;11;35;3;2;41;False
2022-02-20;15;32;4;1;41;False
2022-02-27;17;25;4;2;36;False
2022-03-06;27;35;3;1;38;False
2022-03-13;73;34;4;2;38;False
2022-03-20;64;32;4;2;37;False
2022-03-27;61;26;3;2;39;False
2022-04-03;33;22;4;1;36;False
2022-04-10;16;35;2;1;31;False
2022-04-17;15;47;3;2;34;False
2022-04-24;12;42;3;1;35;False
2022-05-01;18;33;4;2;36;False
2022-05-08;10;34;5;2;37;False
2022-05-15;11;31;2;1;39;False
2022-05-22;22;23;4;1;37;False
2022-05-29;23;26;2;1;38;False
2022-06-05;41;24;3;2;42;False
2022-06-12;22;23;2;2;37;False
2022-06-19;19;19;3;1;34;False
2022-06-26;15;28;3;1;37;False
2022-07-03;14;31;3;1;39;False
2022-07-10;35;30;4;1;40;False
2022-07-17;15;30;1;0;38;False
2022-07-24;14;34;2;1;38;False
2022-07-31;14;28;3;1;34;False
2022-08-07;13;25;2;0;33;False
2022-08-14;13;34;3;0;32;False
2022-08-21;9;36;2;0;28;False
2022-08-28;21;46;1;0;31;False
2022-09-04;13;57;2;2;33;False
2022-09-11;9;51;2;1;29;False
2022-09-18;15;100;3;1;28;False
2022-09-25;9;65;5;1;29;False
2022-10-02;7;63;3;1;27;False
2022-10-09;7;55;2;2;27;False
2022-10-16;7;55;4;1;24;False
2022-10-23;8;68;2;1;22;False
2022-10-30;6;58;3;1;22;False
2022-11-06;8;47;3;1;25;False
2022-11-13;9;48;4;1;21;False
2022-11-20;7;34;4;1;26;False
2022-11-27;7;50;4;1;25;False
2022-12-04;7;51;3;2;22;False
2022-12-11;15;39;4;1;22;False
2022-12-18;22;44;2;1;21;False
2022-12-25;20;83;3;0;27;False
2023-01-01;10;37;2;2;32;False
2023-01-08;21;35;4;1;30;False
2023-01-15;65;31;4;3;29;False
2023-01-22;30;28;3;1;27;False
2023-01-29;18;29;3;2;29;False
