date;Normal People;National Institute for Health and Care Excellence;Henrik Stenson;Sahel;air travel;isPartial
2022-01-02;97;0;0;3;57;False
2022-01-09;100;2;1;5;65;False
2022-01-16;65;0;1;4;48;False
2022-01-23;56;2;0;6;53;False
2022-01-30;58;0;1;5;61;False
2022-02-06;44;2;0;5;61;False
2022-02-13;44;2;0;4;61;False
2022-02-20;50;1;2;6;62;False
2022-02-27;54;3;0;7;54;False
2022-03-06;40;0;1;6;57;False
2022-03-13;44;1;4;6;57;False
2022-03-20;45;0;0;7;55;False
2022-03-27;47;1;1;5;59;False
2022-04-03;49;2;1;4;55;False
2022-04-10;46;1;1;4;47;False
2022-04-17;45;1;1;6;51;False
2022-04-24;50;1;1;7;53;False
2022-05-01;57;1;1;6;55;False
2022-05-08;62;2;1;4;57;False
2022-05-15;88;2;1;5;59;False
2022-05-22;65;1;2;6;56;False
2022-05-29;52;1;1;4;57;False
2022-06-05;46;1;1;6;63;False
2022-06-12;42;2;1;6;57;False
2022-06-19;39;0;2;4;51;False
2022-06-26;39;0;0;4;55;False
2022-07-03;33;2;1;3;58;False
2022-07-10;36;0;8;2;60;False
2022-07-17;38;0;46;3;57;False
2022-07-24;49;1;5;4;57;False
2022-07-31;39;2;5;3;51;False
2022-08-07;46;1;2;3;50;False
2022-08-14;44;1;0;2;49;False
2022-08-21;49;1;0;1;43;False
2022-08-28;35;1;1;5;47;False
2022-09-04;39;1;1;3;50;False
2022-09-11;32;0;2;5;44;False
2022-09-18;31;1;1;2;43;False
2022-09-25;34;0;0;5;43;False
2022-10-02;31;1;0;5;41;False
2022-10-09;31;0;1;5;40;False
2022-10-16;42;1;1;4;36;False
2022-10-23;39;1;0;4;34;False
2022-10-30;40;2;0;3;33;False
2022-11-06;46;2;1;6;38;False
2022-11-13;42;1;0;6;31;False
2022-11-20;36;1;0;4;39;False
2022-11-27;34;3;0;3;38;False
2022-12-04;32;1;0;6;33;False
2022-12-11;32;2;0;4;34;False
2022-12-18;39;1;1;3;32;False
2022-12-25;34;0;0;3;42;False
2023-01-01;42;1;0;6;49;False
2023-01-08;44;1;1;6;45;False
2023-01-15;45;0;1;7;44;False
2023-01-22;54;0;1;5;40;False
2023-01-29;49;1;0;5;43;False
