date;deborah james;Conferences;European Union;tackling racism;air travel;isPartial
2022-01-02;1;1;1;0;4;False
2022-01-09;2;1;2;0;4;False
2022-01-16;2;1;2;0;3;False
2022-01-23;1;2;2;0;3;False
2022-01-30;1;1;2;0;4;False
2022-02-06;3;1;2;0;4;False
2022-02-13;1;2;2;0;4;False
2022-02-20;1;2;4;0;4;False
2022-02-27;1;2;6;0;3;False
2022-03-06;1;2;3;0;4;False
2022-03-13;1;2;2;0;4;False
2022-03-20;1;2;2;0;3;False
2022-03-27;1;2;2;0;4;False
2022-04-03;1;1;2;0;3;False
2022-04-10;1;1;2;0;3;False
2022-04-17;1;1;2;0;3;False
2022-04-24;1;2;2;0;3;False
2022-05-01;1;2;2;0;3;False
2022-05-08;100;2;2;0;4;False
2022-05-15;23;2;2;0;4;False
2022-05-22;14;2;2;0;3;False
2022-05-29;10;1;1;0;4;False
2022-06-05;10;2;2;0;4;False
2022-06-12;10;2;2;0;3;False
2022-06-19;13;2;2;0;3;False
2022-06-26;93;2;1;0;3;False
2022-07-03;8;2;2;0;4;False
2022-07-10;5;2;1;0;4;False
2022-07-17;11;1;1;0;4;False
2022-07-24;2;1;1;0;4;False
2022-07-31;1;2;1;0;3;False
2022-08-07;2;1;2;0;3;False
2022-08-14;4;1;1;0;3;False
2022-08-21;1;1;1;0;3;False
2022-08-28;1;1;1;0;3;False
2022-09-04;1;2;2;0;3;False
2022-09-11;0;2;1;0;3;False
2022-09-18;1;2;2;0;3;False
2022-09-25;0;2;1;0;3;False
2022-10-02;1;2;2;0;3;False
2022-10-09;0;2;2;0;2;False
2022-10-16;0;2;2;0;2;False
2022-10-23;0;2;2;0;2;False
2022-10-30;0;2;2;0;2;False
2022-11-06;0;2;2;0;2;False
2022-11-13;0;2;2;0;2;False
2022-11-20;0;1;2;0;2;False
2022-11-27;1;1;2;0;2;False
2022-12-04;0;1;1;0;2;False
2022-12-11;1;1;2;0;2;False
2022-12-18;0;1;1;0;2;False
2022-12-25;0;1;1;0;3;False
2023-01-01;0;2;2;0;3;False
2023-01-08;0;2;2;0;3;False
2023-01-15;0;2;2;0;3;False
2023-01-22;0;2;2;0;3;False
2023-01-29;1;2;2;0;3;False
