date;Corruption index and barometer;Social housing;Theresa May;Bernard Arnault;air travel;isPartial
2022-01-02;0;24;12;5;32;False
2022-01-09;0;27;30;2;35;False
2022-01-16;0;28;23;6;28;False
2022-01-23;0;30;17;2;30;False
2022-01-30;0;24;58;3;34;False
2022-02-06;0;28;15;2;34;False
2022-02-13;0;22;11;2;35;False
2022-02-20;0;29;13;2;35;False
2022-02-27;0;26;11;2;31;False
2022-03-06;0;33;11;1;33;False
2022-03-13;0;30;11;2;32;False
2022-03-20;0;31;8;2;32;False
2022-03-27;0;28;8;2;33;False
2022-04-03;0;28;9;3;31;False
2022-04-10;0;23;11;3;27;False
2022-04-17;0;26;15;2;30;False
2022-04-24;0;23;11;4;30;False
2022-05-01;0;26;13;3;31;False
2022-05-08;0;31;12;2;32;False
2022-05-15;0;21;9;1;33;False
2022-05-22;0;25;12;1;32;False
2022-05-29;0;20;13;4;32;False
2022-06-05;0;29;96;1;36;False
2022-06-12;0;26;10;1;31;False
2022-06-19;0;23;9;1;29;False
2022-06-26;0;26;13;1;31;False
2022-07-03;0;29;92;3;33;False
2022-07-10;0;25;29;3;34;False
2022-07-17;0;25;27;1;33;False
2022-07-24;0;24;11;2;32;False
2022-07-31;0;25;11;1;29;False
2022-08-07;0;24;9;2;28;False
2022-08-14;0;25;7;3;28;False
2022-08-21;0;27;7;2;24;False
2022-08-28;0;26;9;2;27;False
2022-09-04;0;23;100;2;29;False
2022-09-11;0;28;45;1;25;False
2022-09-18;0;22;27;1;24;False
2022-09-25;0;27;13;1;25;False
2022-10-02;0;26;20;8;24;False
2022-10-09;0;28;15;2;23;False
2022-10-16;0;25;56;5;21;False
2022-10-23;0;26;35;3;19;False
2022-10-30;0;28;11;4;19;False
2022-11-06;0;25;9;4;21;False
2022-11-13;0;34;9;4;18;False
2022-11-20;0;27;8;4;22;False
2022-11-27;0;24;8;2;22;False
2022-12-04;0;21;6;14;19;False
2022-12-11;0;24;7;77;19;False
2022-12-18;0;21;9;17;18;False
2022-12-25;0;14;7;13;24;False
2023-01-01;0;25;8;13;28;False
2023-01-08;0;31;10;26;26;False
2023-01-15;0;28;8;13;25;False
2023-01-22;0;32;8;11;23;False
2023-01-29;0;30;8;11;25;False
