date;Welsh politics;Patricia Highsmith;nobel prize;Maternity & paternity rights;air travel;isPartial
2022-01-02;0;2;20;0;43;False
2022-01-09;1;2;18;0;47;False
2022-01-16;0;3;24;0;37;False
2022-01-23;1;1;26;0;41;False
2022-01-30;0;1;28;0;46;False
2022-02-06;0;1;26;0;46;False
2022-02-13;0;0;23;0;46;False
2022-02-20;0;0;21;0;47;False
2022-02-27;1;0;25;0;41;False
2022-03-06;1;1;35;0;44;False
2022-03-13;0;1;20;0;43;False
2022-03-20;1;1;21;0;42;False
2022-03-27;0;1;21;0;45;False
2022-04-03;0;1;19;0;41;False
2022-04-10;0;2;22;0;35;False
2022-04-17;0;1;22;0;40;False
2022-04-24;0;0;18;0;41;False
2022-05-01;0;2;19;0;42;False
2022-05-08;1;2;34;0;43;False
2022-05-15;0;1;19;0;45;False
2022-05-22;0;0;18;0;42;False
2022-05-29;1;1;15;0;43;False
2022-06-05;1;0;18;0;48;False
2022-06-12;0;0;19;0;42;False
2022-06-19;0;1;22;0;39;False
2022-06-26;0;1;21;0;42;False
2022-07-03;1;0;18;0;44;False
2022-07-10;1;0;15;0;46;False
2022-07-17;1;1;18;0;44;False
2022-07-24;1;1;20;0;43;False
2022-07-31;0;1;18;0;39;False
2022-08-07;0;1;23;0;38;False
2022-08-14;1;1;18;0;37;False
2022-08-21;0;2;14;0;32;False
2022-08-28;0;1;24;0;36;False
2022-09-04;1;1;28;0;38;False
2022-09-11;0;0;18;0;33;False
2022-09-18;0;2;17;0;32;False
2022-09-25;1;2;27;0;33;False
2022-10-02;1;0;100;0;31;False
2022-10-09;0;1;47;0;30;False
2022-10-16;0;1;59;0;28;False
2022-10-23;0;1;35;0;26;False
2022-10-30;1;1;24;0;25;False
2022-11-06;1;1;22;0;29;False
2022-11-13;0;1;24;0;24;False
2022-11-20;0;1;19;0;30;False
2022-11-27;0;1;20;0;29;False
2022-12-04;0;1;26;0;25;False
2022-12-11;0;0;20;0;26;False
2022-12-18;0;2;20;0;24;False
2022-12-25;0;1;19;0;32;False
2023-01-01;2;1;20;0;37;False
2023-01-08;1;1;19;0;34;False
2023-01-15;1;2;23;0;33;False
2023-01-22;1;1;21;0;31;False
2023-01-29;0;0;22;0;33;False
