date;Economic growth (GDP);Summer in the City;jerusalem;Infrastructure;air travel;isPartial
2023-01-01;0;0;53;14;24;False
2023-01-02;4;0;46;18;28;False
2023-01-03;0;0;61;43;18;False
2023-01-04;0;2;47;40;27;False
2023-01-05;5;2;39;47;23;False
2023-01-06;2;0;46;46;23;False
2023-01-07;3;2;51;24;16;False
2023-01-08;0;3;52;23;26;False
2023-01-09;3;2;45;53;15;False
2023-01-10;4;0;44;56;24;False
2023-01-11;4;0;42;58;28;False
2023-01-12;0;0;32;51;23;False
2023-01-13;3;5;37;41;18;False
2023-01-14;0;3;42;23;17;False
2023-01-15;0;4;48;26;20;False
2023-01-16;0;2;54;62;21;False
2023-01-17;0;4;42;57;17;False
2023-01-18;2;0;44;53;25;False
2023-01-19;3;2;46;55;22;False
2023-01-20;2;4;32;38;18;False
2023-01-21;0;0;50;20;19;False
2023-01-22;2;0;61;21;22;False
2023-01-23;0;0;53;66;22;False
2023-01-24;3;0;43;69;17;False
2023-01-25;0;3;46;58;23;False
2023-01-26;0;0;49;61;21;False
2023-01-27;0;2;79;55;15;False
2023-01-28;0;2;100;20;20;False
2023-01-29;2;2;73;31;19;False
2023-01-30;0;0;52;46;31;False
2023-01-31;0;2;51;70;26;False
