date;sarah michelle gellar;George Clooney;Six Nations;Merlin Entertainments;air travel;isPartial
2022-01-02;0;1;6;0;2;False
2022-01-09;0;1;10;0;2;False
2022-01-16;0;2;14;0;2;False
2022-01-23;0;1;22;0;2;False
2022-01-30;0;2;100;0;2;False
2022-02-06;0;1;90;0;2;False
2022-02-13;0;1;43;0;2;False
2022-02-20;0;2;63;0;2;False
2022-02-27;0;2;37;0;2;False
2022-03-06;0;2;73;0;2;False
2022-03-13;0;1;82;0;2;False
2022-03-20;1;2;20;0;2;False
2022-03-27;0;2;5;0;2;False
2022-04-03;0;2;4;0;2;False
2022-04-10;1;2;3;0;2;False
2022-04-17;0;1;3;0;2;False
2022-04-24;0;2;4;0;2;False
2022-05-01;0;2;1;0;2;False
2022-05-08;0;1;1;0;2;False
2022-05-15;1;1;1;0;2;False
2022-05-22;0;2;1;0;2;False
2022-05-29;0;1;1;0;2;False
2022-06-05;0;1;1;0;2;False
2022-06-12;0;1;1;0;2;False
2022-06-19;0;1;1;0;2;False
2022-06-26;0;2;1;0;2;False
2022-07-03;0;2;1;0;2;False
2022-07-10;0;2;1;0;2;False
2022-07-17;1;2;1;0;2;False
2022-07-24;0;2;1;0;2;False
2022-07-31;0;1;1;0;2;False
2022-08-07;0;1;1;0;2;False
2022-08-14;0;2;1;0;2;False
2022-08-21;0;2;1;0;2;False
2022-08-28;1;3;1;0;2;False
2022-09-04;1;3;1;0;2;False
2022-09-11;1;3;1;0;2;False
2022-09-18;1;5;1;0;2;False
2022-09-25;1;4;2;0;2;False
2022-10-02;1;3;1;0;2;False
2022-10-09;0;3;1;0;2;False
2022-10-16;0;3;1;0;1;False
2022-10-23;0;3;2;0;1;False
2022-10-30;0;3;2;0;1;False
2022-11-06;0;2;2;0;1;False
2022-11-13;0;2;3;0;1;False
2022-11-20;0;2;2;0;2;False
2022-11-27;0;2;3;0;2;False
2022-12-04;0;3;2;0;1;False
2022-12-11;0;3;2;0;1;False
2022-12-18;0;3;2;0;1;False
2022-12-25;1;5;3;0;2;False
2023-01-01;0;2;6;0;2;False
2023-01-08;0;2;8;0;2;False
2023-01-15;1;2;11;0;2;False
2023-01-22;4;2;17;0;2;False
2023-01-29;2;2;89;0;2;False
