date;Barbarians;Institute for Fiscal Studies;TV crime drama;Energy research;air travel;isPartial
2023-01-01;44;0;19;0;76;False
2023-01-02;27;0;8;0;90;False
2023-01-03;59;7;0;11;59;False
2023-01-04;23;7;5;13;89;False
2023-01-05;23;0;17;6;73;False
2023-01-06;31;0;0;11;73;False
2023-01-07;26;0;0;28;53;False
2023-01-08;35;0;6;0;84;False
2023-01-09;22;0;8;10;50;False
2023-01-10;25;0;8;0;79;False
2023-01-11;40;0;5;15;90;False
2023-01-12;19;0;0;9;75;False
2023-01-13;30;0;0;10;60;False
2023-01-14;20;0;12;7;56;False
2023-01-15;33;0;0;7;66;False
2023-01-16;13;0;0;7;68;False
2023-01-17;14;8;0;0;56;False
2023-01-18;13;0;0;10;80;False
2023-01-19;24;0;0;0;73;False
2023-01-20;24;0;0;5;59;False
2023-01-21;27;18;5;8;63;False
2023-01-22;41;0;0;0;70;False
2023-01-23;0;25;0;10;72;False
2023-01-24;13;8;11;12;55;False
2023-01-25;25;0;7;16;75;False
2023-01-26;31;0;0;9;68;False
2023-01-27;51;0;0;0;47;False
2023-01-28;33;0;8;0;66;False
2023-01-29;11;0;0;0;60;False
2023-01-30;25;0;10;14;100;False
2023-01-31;26;9;0;14;84;False
