date;Carers;Royal Albert Hall;Diabetes;GST;air travel;isPartial
2022-01-02;31;7;77;2;7;False
2022-01-09;31;11;80;3;8;False
2022-01-16;34;11;73;3;6;False
2022-01-23;33;11;79;3;7;False
2022-01-30;37;12;86;3;8;False
2022-02-06;33;11;76;3;8;False
2022-02-13;29;12;75;3;8;False
2022-02-20;31;17;79;3;8;False
2022-02-27;31;11;83;3;7;False
2022-03-06;32;11;86;3;7;False
2022-03-13;30;12;86;3;7;False
2022-03-20;36;13;80;3;7;False
2022-03-27;34;12;79;3;8;False
2022-04-03;35;9;82;3;7;False
2022-04-10;32;9;76;3;6;False
2022-04-17;28;9;74;3;7;False
2022-04-24;35;8;81;4;7;False
2022-05-01;31;11;83;4;7;False
2022-05-08;34;11;85;4;7;False
2022-05-15;37;14;86;4;8;False
2022-05-22;41;13;80;5;7;False
2022-05-29;35;15;69;5;7;False
2022-06-05;46;9;88;5;8;False
2022-06-12;36;9;84;4;7;False
2022-06-19;35;10;76;3;7;False
2022-06-26;36;11;84;3;7;False
2022-07-03;34;8;77;3;8;False
2022-07-10;36;10;76;3;8;False
2022-07-17;32;10;72;3;7;False
2022-07-24;33;9;73;4;7;False
2022-07-31;30;9;76;3;7;False
2022-08-07;32;11;76;3;6;False
2022-08-14;32;8;75;3;6;False
2022-08-21;34;11;76;3;6;False
2022-08-28;33;11;77;3;6;False
2022-09-04;33;10;74;3;7;False
2022-09-11;36;10;77;3;6;False
2022-09-18;33;16;72;3;5;False
2022-09-25;34;13;71;3;6;False
2022-10-02;33;16;81;3;5;False
2022-10-09;34;16;76;3;5;False
2022-10-16;34;16;77;3;5;False
2022-10-23;32;17;74;3;4;False
2022-10-30;33;14;78;3;4;False
2022-11-06;37;18;86;3;5;False
2022-11-13;37;18;100;3;4;False
2022-11-20;34;12;74;2;5;False
2022-11-27;34;12;72;2;5;False
2022-12-04;37;13;70;2;4;False
2022-12-11;30;16;68;2;4;False
2022-12-18;30;21;72;3;4;False
2022-12-25;24;13;63;2;5;False
2023-01-01;30;9;76;3;6;False
2023-01-08;35;11;86;3;6;False
2023-01-15;34;15;84;3;6;False
2023-01-22;34;13;84;3;5;False
2023-01-29;35;15;89;2;6;False
