date;Michael J Fox;William Wilberforce;Care Quality Commission (CQC);Los Angeles Chargers;air travel;isPartial
2023-01-01;20;0;6;0;39;False
2023-01-02;13;0;0;0;46;False
2023-01-03;16;3;0;0;30;False
2023-01-04;21;13;5;0;45;False
2023-01-05;11;2;3;4;37;False
2023-01-06;13;0;0;0;37;False
2023-01-07;15;0;0;0;27;False
2023-01-08;3;0;7;0;43;False
2023-01-09;11;0;0;0;25;False
2023-01-10;5;0;0;0;40;False
2023-01-11;14;0;0;0;45;False
2023-01-12;4;0;0;3;38;False
2023-01-13;6;3;0;0;30;False
2023-01-14;15;0;0;0;28;False
2023-01-15;8;0;0;5;34;False
2023-01-16;11;6;0;0;35;False
2023-01-17;3;3;3;0;28;False
2023-01-18;11;0;3;0;41;False
2023-01-19;11;0;0;0;37;False
2023-01-20;19;0;0;6;30;False
2023-01-21;34;0;5;0;32;False
2023-01-22;48;4;0;0;35;False
2023-01-23;10;0;0;0;36;False
2023-01-24;56;0;0;0;28;False
2023-01-25;100;4;9;0;38;False
2023-01-26;82;7;5;0;34;False
2023-01-27;28;5;0;0;24;False
2023-01-28;19;0;0;0;33;False
2023-01-29;24;0;0;9;31;False
2023-01-30;11;0;0;2;51;False
2023-01-31;21;0;4;0;43;False
