date;Wimbledon;Royal Exchange;Inequality;Denmark;air travel;isPartial
2022-01-02;3;0;0;1;0;False
2022-01-09;3;0;0;1;0;False
2022-01-16;3;0;0;1;0;False
2022-01-23;3;0;0;1;0;False
2022-01-30;4;0;0;1;0;False
2022-02-06;3;0;0;1;0;False
2022-02-13;3;0;0;1;0;False
2022-02-20;3;0;0;1;0;False
2022-02-27;2;0;0;1;0;False
2022-03-06;2;0;0;1;0;False
2022-03-13;3;0;0;1;0;False
2022-03-20;3;0;0;2;0;False
2022-03-27;3;0;0;1;0;False
2022-04-03;3;0;0;1;0;False
2022-04-10;3;0;0;1;0;False
2022-04-17;3;0;0;1;0;False
2022-04-24;3;0;0;1;0;False
2022-05-01;3;0;0;1;0;False
2022-05-08;3;0;0;1;0;False
2022-05-15;3;0;0;1;0;False
2022-05-22;4;0;0;1;0;False
2022-05-29;4;0;0;2;0;False
2022-06-05;5;0;0;2;0;False
2022-06-12;6;0;0;1;0;False
2022-06-19;11;0;0;1;0;False
2022-06-26;77;0;0;1;0;False
2022-07-03;100;0;0;2;0;False
2022-07-10;31;0;0;2;0;False
2022-07-17;3;0;0;1;0;False
2022-07-24;3;0;0;1;0;False
2022-07-31;3;0;0;1;0;False
2022-08-07;3;0;0;1;0;False
2022-08-14;3;0;0;1;0;False
2022-08-21;3;0;0;1;0;False
2022-08-28;3;0;0;1;0;False
2022-09-04;3;1;0;1;0;False
2022-09-11;3;0;0;1;0;False
2022-09-18;3;0;0;2;0;False
2022-09-25;3;0;0;2;0;False
2022-10-02;2;0;0;1;0;False
2022-10-09;2;0;0;1;0;False
2022-10-16;3;0;0;1;0;False
2022-10-23;3;0;0;1;0;False
2022-10-30;3;0;0;1;0;False
2022-11-06;3;0;0;1;0;False
2022-11-13;3;0;0;2;0;False
2022-11-20;2;0;0;9;0;False
2022-11-27;2;0;0;4;0;False
2022-12-04;2;0;0;1;0;False
2022-12-11;3;0;0;1;0;False
2022-12-18;3;0;0;1;0;False
2022-12-25;3;0;0;1;0;False
2023-01-01;3;0;0;1;0;False
2023-01-08;3;0;0;1;0;False
2023-01-15;3;0;0;1;0;False
2023-01-22;3;0;0;1;0;False
2023-01-29;3;0;0;1;0;False
