date;eurovision;Obesity;Emergency planning;Edward Norton;air travel;isPartial
2022-01-02;1;1;0;0;1;False
2022-01-09;1;1;0;0;1;False
2022-01-16;1;1;0;0;0;False
2022-01-23;1;1;0;0;1;False
2022-01-30;1;1;0;0;1;False
2022-02-06;1;1;0;0;1;False
2022-02-13;2;1;0;0;1;False
2022-02-20;2;1;0;0;1;False
2022-02-27;2;1;0;0;1;False
2022-03-06;3;1;0;0;1;False
2022-03-13;2;1;0;0;1;False
2022-03-20;2;1;0;0;1;False
2022-03-27;2;1;0;0;1;False
2022-04-03;2;1;0;0;1;False
2022-04-10;2;1;0;0;0;False
2022-04-17;2;1;0;0;1;False
2022-04-24;4;1;0;0;1;False
2022-05-01;9;1;0;0;1;False
2022-05-08;100;1;0;0;1;False
2022-05-15;59;1;0;0;1;False
2022-05-22;3;1;0;0;1;False
2022-05-29;2;0;0;0;1;False
2022-06-05;1;1;0;0;1;False
2022-06-12;3;1;0;0;1;False
2022-06-19;2;0;0;0;1;False
2022-06-26;1;0;0;0;1;False
2022-07-03;1;0;0;0;1;False
2022-07-10;1;0;0;0;1;False
2022-07-17;1;0;0;0;1;False
2022-07-24;4;0;0;0;1;False
2022-07-31;1;0;0;0;0;False
2022-08-07;4;0;0;0;0;False
2022-08-14;1;0;0;0;0;False
2022-08-21;1;0;0;0;0;False
2022-08-28;1;0;0;0;0;False
2022-09-04;1;0;0;0;0;False
2022-09-11;1;1;0;0;0;False
2022-09-18;1;0;0;0;0;False
2022-09-25;2;1;0;0;0;False
2022-10-02;7;1;0;0;0;False
2022-10-09;3;1;0;0;0;False
2022-10-16;1;1;0;0;0;False
2022-10-23;1;1;0;0;0;False
2022-10-30;1;1;0;0;0;False
2022-11-06;1;1;0;0;0;False
2022-11-13;1;1;0;0;0;False
2022-11-20;1;1;0;0;0;False
2022-11-27;1;1;0;0;0;False
2022-12-04;1;1;0;0;0;False
2022-12-11;2;1;0;0;0;False
2022-12-18;1;0;0;0;0;False
2022-12-25;2;0;0;1;0;False
2023-01-01;2;1;0;1;0;False
2023-01-08;2;1;0;0;0;False
2023-01-15;1;1;0;0;0;False
2023-01-22;2;1;0;0;0;False
2023-01-29;5;1;0;0;0;False
