date;Utilities;Cervical cancer;Culture;Ivory Coast;air travel;isPartial
2022-01-02;14;14;37;3;7;False
2022-01-09;14;9;41;10;8;False
2022-01-16;15;10;42;14;6;False
2022-01-23;15;8;44;15;7;False
2022-01-30;17;7;44;3;8;False
2022-02-06;16;7;43;3;8;False
2022-02-13;14;8;42;2;8;False
2022-02-20;16;8;41;3;8;False
2022-02-27;16;8;49;3;7;False
2022-03-06;17;7;51;3;7;False
2022-03-13;17;7;53;5;7;False
2022-03-20;16;7;55;20;7;False
2022-03-27;18;7;54;100;7;False
2022-04-03;15;7;43;2;7;False
2022-04-10;12;5;39;2;6;False
2022-04-17;13;6;46;3;7;False
2022-04-24;15;7;46;2;7;False
2022-05-01;15;6;52;2;7;False
2022-05-08;16;7;56;2;7;False
2022-05-15;16;7;51;2;7;False
2022-05-22;15;6;44;2;7;False
2022-05-29;12;6;71;3;7;False
2022-06-05;16;6;41;3;8;False
2022-06-12;15;10;40;3;7;False
2022-06-19;15;6;38;3;7;False
2022-06-26;16;6;39;2;7;False
2022-07-03;16;6;34;3;7;False
2022-07-10;18;6;38;2;8;False
2022-07-17;18;5;34;2;7;False
2022-07-24;22;6;33;2;7;False
2022-07-31;17;6;30;2;6;False
2022-08-07;20;5;34;2;6;False
2022-08-14;17;6;31;1;6;False
2022-08-21;18;6;32;2;5;False
2022-08-28;18;5;33;2;6;False
2022-09-04;16;11;37;2;6;False
2022-09-11;17;7;41;2;6;False
2022-09-18;13;6;38;3;5;False
2022-09-25;19;6;39;3;5;False
2022-10-02;18;6;42;3;5;False
2022-10-09;16;6;42;2;5;False
2022-10-16;15;6;43;2;5;False
2022-10-23;15;7;39;2;4;False
2022-10-30;15;7;43;2;4;False
2022-11-06;19;7;56;3;5;False
2022-11-13;17;10;55;4;4;False
2022-11-20;16;7;46;3;5;False
2022-11-27;16;7;44;3;5;False
2022-12-04;13;7;39;2;4;False
2022-12-11;17;6;37;2;4;False
2022-12-18;27;6;31;2;4;False
2022-12-25;9;5;27;1;5;False
2023-01-01;15;6;35;2;6;False
2023-01-08;16;8;48;3;6;False
2023-01-15;16;7;46;4;6;False
2023-01-22;16;10;43;3;5;False
2023-01-29;19;9;44;2;6;False
