date;manchester united;Christmas;Brooklyn;wigan;air travel;isPartial
2022-01-02;3;12;1;2;0;False
2022-01-09;3;5;1;2;0;False
2022-01-16;2;3;1;2;0;False
2022-01-23;2;3;1;2;0;False
2022-01-30;3;2;1;2;0;False
2022-02-06;3;2;1;2;0;False
2022-02-13;2;2;1;2;0;False
2022-02-20;4;2;1;2;0;False
2022-02-27;2;2;0;2;0;False
2022-03-06;3;2;1;2;0;False
2022-03-13;3;2;1;2;0;False
2022-03-20;1;2;0;2;0;False
2022-03-27;2;2;1;2;0;False
2022-04-03;2;2;1;2;0;False
2022-04-10;2;2;4;2;0;False
2022-04-17;4;2;1;2;0;False
2022-04-24;2;2;1;2;0;False
2022-05-01;3;2;1;2;0;False
2022-05-08;2;2;1;2;0;False
2022-05-15;2;2;1;2;0;False
2022-05-22;2;2;1;2;0;False
2022-05-29;2;2;1;2;0;False
2022-06-05;2;2;1;2;0;False
2022-06-12;2;2;1;2;0;False
2022-06-19;2;2;0;2;0;False
2022-06-26;2;2;0;2;0;False
2022-07-03;2;2;0;2;0;False
2022-07-10;4;2;0;2;0;False
2022-07-17;3;2;1;2;0;False
2022-07-24;3;3;1;2;0;False
2022-07-31;3;4;0;2;0;False
2022-08-07;5;4;1;2;0;False
2022-08-14;3;4;1;2;0;False
2022-08-21;5;5;1;2;0;False
2022-08-28;4;6;1;2;0;False
2022-09-04;4;7;1;2;0;False
2022-09-11;2;9;1;2;0;False
2022-09-18;1;11;0;2;0;False
2022-09-25;1;13;1;2;0;False
2022-10-02;4;15;0;2;0;False
2022-10-09;3;15;0;2;0;False
2022-10-16;4;17;0;2;0;False
2022-10-23;2;20;1;2;0;False
2022-10-30;3;28;0;2;0;False
2022-11-06;3;42;0;2;0;False
2022-11-13;2;46;0;2;0;False
2022-11-20;2;54;0;1;0;False
2022-11-27;1;69;0;2;0;False
2022-12-04;1;73;0;1;0;False
2022-12-11;1;76;0;2;0;False
2022-12-18;2;100;0;2;0;False
2022-12-25;3;51;1;2;0;False
2023-01-01;4;13;1;2;0;False
2023-01-08;4;5;1;2;0;False
2023-01-15;3;3;1;2;0;False
2023-01-22;4;2;1;2;0;False
2023-01-29;4;2;0;2;0;False
