date;New South Wales;Feminism;Manufacturing sector;Leicester City Women;air travel;isPartial
2022-01-02;34;68;1;1;87;False
2022-01-09;27;86;3;4;100;False
2022-01-16;25;72;3;2;74;False
2022-01-23;27;75;2;2;82;False
2022-01-30;22;67;4;3;93;False
2022-02-06;29;62;0;3;93;False
2022-02-13;28;62;3;2;94;False
2022-02-20;27;70;1;4;95;False
2022-02-27;37;68;2;2;83;False
2022-03-06;23;93;1;2;88;False
2022-03-13;26;81;2;2;87;False
2022-03-20;26;77;3;2;85;False
2022-03-27;28;72;1;5;90;False
2022-04-03;28;63;2;2;82;False
2022-04-10;26;60;2;0;71;False
2022-04-17;27;68;1;2;79;False
2022-04-24;20;73;0;3;82;False
2022-05-01;28;86;1;3;84;False
2022-05-08;21;88;2;3;87;False
2022-05-15;28;81;2;3;90;False
2022-05-22;20;61;1;1;85;False
2022-05-29;25;55;1;0;87;False
2022-06-05;26;64;3;3;97;False
2022-06-12;21;59;1;0;85;False
2022-06-19;24;54;2;2;79;False
2022-06-26;35;52;2;0;85;False
2022-07-03;42;46;0;1;89;False
2022-07-10;41;45;1;3;92;False
2022-07-17;25;40;3;1;88;False
2022-07-24;28;33;0;4;87;False
2022-07-31;22;40;1;6;78;False
2022-08-07;30;39;0;1;76;False
2022-08-14;39;39;1;3;75;False
2022-08-21;28;37;2;1;65;False
2022-08-28;20;37;0;3;72;False
2022-09-04;20;47;2;2;77;False
2022-09-11;20;57;0;2;67;False
2022-09-18;25;63;2;2;66;False
2022-09-25;23;48;2;8;66;False
2022-10-02;21;62;2;2;63;False
2022-10-09;23;58;2;3;62;False
2022-10-16;23;57;2;6;55;False
2022-10-23;22;55;0;5;52;False
2022-10-30;37;65;2;4;51;False
2022-11-06;44;69;1;4;58;False
2022-11-13;42;78;4;0;48;False
2022-11-20;33;60;2;3;60;False
2022-11-27;24;70;0;3;59;False
2022-12-04;17;65;2;1;50;False
2022-12-11;19;57;2;1;52;False
2022-12-18;42;40;0;1;48;False
2022-12-25;31;39;0;2;64;False
2023-01-01;21;53;2;1;74;False
2023-01-08;26;72;3;2;69;False
2023-01-15;23;69;2;3;67;False
2023-01-22;23;66;2;1;62;False
2023-01-29;24;74;1;4;67;False
