date;Investigative journalism;The National Trust;Stephen Hough;La Rochelle;air travel;isPartial
2023-01-01;0;31;0;16;52;False
2023-01-02;0;32;0;18;62;False
2023-01-03;7;26;4;19;40;False
2023-01-04;0;22;0;20;60;False
2023-01-05;0;18;11;26;50;False
2023-01-06;0;26;0;13;50;False
2023-01-07;0;23;0;25;36;False
2023-01-08;0;24;0;28;58;False
2023-01-09;0;19;0;19;34;False
2023-01-10;0;33;0;23;54;False
2023-01-11;0;22;0;24;61;False
2023-01-12;4;21;3;28;51;False
2023-01-13;0;3;0;11;41;False
2023-01-14;0;30;16;99;38;False
2023-01-15;4;41;20;42;45;False
2023-01-16;0;18;27;35;47;False
2023-01-17;0;25;7;10;38;False
2023-01-18;0;19;0;24;55;False
2023-01-19;0;18;0;24;50;False
2023-01-20;0;18;0;22;40;False
2023-01-21;8;28;0;100;43;False
2023-01-22;0;25;0;39;48;False
2023-01-23;0;26;0;26;49;False
2023-01-24;5;33;5;24;37;False
2023-01-25;0;0;0;14;51;False
2023-01-26;0;24;0;23;46;False
2023-01-27;0;26;0;26;32;False
2023-01-28;0;33;6;28;45;False
2023-01-29;0;32;8;31;41;False
2023-01-30;0;38;0;25;68;False
2023-01-31;0;39;6;26;57;False
