date;Super Bowl;Ursula K Le Guin;Joan Rivers;Chinatown;air travel;isPartial
2022-01-02;4;0;0;3;2;False
2022-01-09;6;0;0;2;3;False
2022-01-16;8;0;0;2;2;False
2022-01-23;10;0;0;3;2;False
2022-01-30;18;0;0;4;2;False
2022-02-06;26;0;0;3;2;False
2022-02-13;100;0;0;3;2;False
2022-02-20;6;0;0;3;3;False
2022-02-27;3;0;0;3;2;False
2022-03-06;3;0;0;3;2;False
2022-03-13;2;0;0;3;2;False
2022-03-20;2;0;0;3;2;False
2022-03-27;2;0;0;3;2;False
2022-04-03;2;0;0;3;2;False
2022-04-10;2;0;0;4;2;False
2022-04-17;1;0;0;3;2;False
2022-04-24;1;0;0;3;2;False
2022-05-01;1;0;0;3;2;False
2022-05-08;2;0;0;2;2;False
2022-05-15;1;0;0;3;2;False
2022-05-22;1;0;0;3;2;False
2022-05-29;1;0;0;3;2;False
2022-06-05;1;0;0;2;3;False
2022-06-12;2;0;0;2;2;False
2022-06-19;2;0;0;2;2;False
2022-06-26;1;0;0;2;2;False
2022-07-03;1;0;0;2;2;False
2022-07-10;2;0;0;3;2;False
2022-07-17;1;0;0;3;2;False
2022-07-24;1;0;0;3;2;False
2022-07-31;1;0;0;3;2;False
2022-08-07;1;0;0;3;2;False
2022-08-14;1;0;0;3;2;False
2022-08-21;1;0;0;3;2;False
2022-08-28;1;0;0;3;2;False
2022-09-04;2;0;0;2;2;False
2022-09-11;2;0;0;3;2;False
2022-09-18;2;0;0;3;2;False
2022-09-25;3;0;0;3;2;False
2022-10-02;2;0;0;3;2;False
2022-10-09;2;0;0;3;2;False
2022-10-16;2;0;0;3;1;False
2022-10-23;2;0;0;3;1;False
2022-10-30;2;0;0;3;1;False
2022-11-06;2;0;0;3;2;False
2022-11-13;2;0;0;3;1;False
2022-11-20;2;0;0;2;2;False
2022-11-27;2;0;0;3;2;False
2022-12-04;2;0;0;2;1;False
2022-12-11;2;0;0;2;1;False
2022-12-18;3;0;0;3;1;False
2022-12-25;3;0;0;3;2;False
2023-01-01;4;0;0;3;2;False
2023-01-08;5;0;0;3;2;False
2023-01-15;6;0;0;4;2;False
2023-01-22;6;0;0;4;2;False
2023-01-29;13;0;0;3;2;False
