date;Tim Peake;The gender gap;University of Bristol;Jonathan Ashworth;air travel;isPartial
2022-01-02;10;8;46;2;87;False
2022-01-09;17;8;75;4;100;False
2022-01-16;12;4;64;2;74;False
2022-01-23;13;7;68;0;82;False
2022-01-30;13;6;71;3;93;False
2022-02-06;11;6;60;1;93;False
2022-02-13;13;5;57;0;94;False
2022-02-20;13;6;64;0;95;False
2022-02-27;19;7;58;0;83;False
2022-03-06;28;16;67;3;88;False
2022-03-13;21;8;66;1;87;False
2022-03-20;15;6;61;0;85;False
2022-03-27;18;9;58;4;90;False
2022-04-03;12;5;47;1;82;False
2022-04-10;8;5;53;1;71;False
2022-04-17;7;6;47;1;79;False
2022-04-24;6;6;54;3;82;False
2022-05-01;2;11;59;1;84;False
2022-05-08;10;9;62;2;87;False
2022-05-15;7;5;72;3;90;False
2022-05-22;6;4;50;1;85;False
2022-05-29;3;6;38;1;87;False
2022-06-05;6;6;51;3;97;False
2022-06-12;19;4;60;0;85;False
2022-06-19;10;4;58;0;79;False
2022-06-26;26;5;51;2;85;False
2022-07-03;9;3;46;3;89;False
2022-07-10;10;5;51;2;92;False
2022-07-17;10;4;39;2;88;False
2022-07-24;8;3;45;0;87;False
2022-07-31;14;5;42;3;78;False
2022-08-07;11;4;44;1;76;False
2022-08-14;9;2;82;0;75;False
2022-08-21;16;2;54;1;65;False
2022-08-28;21;3;55;0;72;False
2022-09-04;16;5;78;0;77;False
2022-09-11;22;4;83;0;67;False
2022-09-18;14;6;87;2;66;False
2022-09-25;17;5;85;3;66;False
2022-10-02;8;6;80;1;63;False
2022-10-09;43;7;80;4;62;False
2022-10-16;17;6;77;5;55;False
2022-10-23;9;4;63;1;52;False
2022-10-30;10;7;59;0;51;False
2022-11-06;11;7;70;3;58;False
2022-11-13;9;7;60;5;48;False
2022-11-20;11;5;60;0;60;False
2022-11-27;10;8;63;2;59;False
2022-12-04;7;6;56;1;50;False
2022-12-11;8;4;56;0;52;False
2022-12-18;4;5;34;0;48;False
2022-12-25;21;4;30;0;64;False
2023-01-01;9;2;51;0;74;False
2023-01-08;13;8;62;2;69;False
2023-01-15;21;8;66;2;67;False
2023-01-22;23;8;69;0;62;False
2023-01-29;12;6;61;2;67;False
