date;Unemployment and employment statistics;Judiciary;Lifestyle;School meals;air travel;isPartial
2022-01-02;0;3;88;27;26;False
2022-01-09;0;4;82;29;28;False
2022-01-16;0;4;78;25;22;False
2022-01-23;0;5;79;23;24;False
2022-01-30;0;4;85;29;27;False
2022-02-06;0;4;72;27;28;False
2022-02-13;0;3;71;21;28;False
2022-02-20;0;3;73;21;28;False
2022-02-27;0;4;78;24;25;False
2022-03-06;0;4;78;25;26;False
2022-03-13;0;4;74;25;26;False
2022-03-20;0;4;79;27;25;False
2022-03-27;0;4;73;30;27;False
2022-04-03;0;3;66;23;24;False
2022-04-10;0;4;71;14;21;False
2022-04-17;0;4;70;20;24;False
2022-04-24;0;3;70;25;24;False
2022-05-01;0;5;76;23;25;False
2022-05-08;0;4;75;27;26;False
2022-05-15;0;4;76;31;27;False
2022-05-22;0;4;72;28;25;False
2022-05-29;0;2;67;23;26;False
2022-06-05;0;3;73;35;29;False
2022-06-12;0;4;76;46;25;False
2022-06-19;0;3;75;39;23;False
2022-06-26;0;3;69;37;25;False
2022-07-03;0;2;72;41;26;False
2022-07-10;0;4;86;40;27;False
2022-07-17;0;2;100;35;26;False
2022-07-24;0;4;79;26;26;False
2022-07-31;0;3;69;20;23;False
2022-08-07;0;2;67;18;23;False
2022-08-14;0;2;62;30;22;False
2022-08-21;0;3;68;32;19;False
2022-08-28;0;1;69;57;21;False
2022-09-04;0;3;66;85;23;False
2022-09-11;0;4;71;55;20;False
2022-09-18;0;3;65;37;19;False
2022-09-25;0;4;68;43;20;False
2022-10-02;0;4;65;39;19;False
2022-10-09;0;5;70;40;18;False
2022-10-16;0;5;66;33;16;False
2022-10-23;0;3;63;26;15;False
2022-10-30;0;3;67;31;15;False
2022-11-06;0;4;75;32;17;False
2022-11-13;0;3;72;30;14;False
2022-11-20;0;2;70;24;18;False
2022-11-27;0;4;69;33;17;False
2022-12-04;0;3;69;30;15;False
2022-12-11;0;3;72;32;15;False
2022-12-18;0;2;72;22;14;False
2022-12-25;0;2;94;9;19;False
2023-01-01;0;3;90;22;22;False
2023-01-08;0;4;85;29;20;False
2023-01-15;0;4;77;29;20;False
2023-01-22;0;4;78;26;18;False
2023-01-29;0;4;77;30;20;False
