date;wrexham fc;Freddie Mercury;State pensions;chatgpt;air travel;isPartial
2022-01-02;5;6;0;0;4;False
2022-01-09;4;5;1;0;5;False
2022-01-16;4;4;1;0;4;False
2022-01-23;7;5;1;0;4;False
2022-01-30;5;4;1;0;5;False
2022-02-06;4;6;1;0;4;False
2022-02-13;4;17;1;0;5;False
2022-02-20;5;13;1;0;5;False
2022-02-27;4;5;0;0;4;False
2022-03-06;6;5;0;0;4;False
2022-03-13;5;5;1;0;4;False
2022-03-20;10;7;1;0;4;False
2022-03-27;9;5;1;0;4;False
2022-04-03;11;5;1;0;4;False
2022-04-10;8;5;1;0;3;False
2022-04-17;8;6;1;0;4;False
2022-04-24;7;6;1;0;4;False
2022-05-01;7;5;0;0;4;False
2022-05-08;10;5;0;0;4;False
2022-05-15;10;6;0;0;4;False
2022-05-22;31;5;1;0;4;False
2022-05-29;4;12;0;0;4;False
2022-06-05;3;14;0;0;5;False
2022-06-12;2;27;1;0;4;False
2022-06-19;2;31;1;0;4;False
2022-06-26;3;18;1;0;4;False
2022-07-03;3;12;1;0;4;False
2022-07-10;3;11;1;0;4;False
2022-07-17;3;9;0;0;4;False
2022-07-24;5;9;1;0;4;False
2022-07-31;5;9;0;0;4;False
2022-08-07;5;7;0;0;4;False
2022-08-14;6;7;1;0;4;False
2022-08-21;11;10;1;0;3;False
2022-08-28;18;10;1;0;3;False
2022-09-04;13;10;1;0;4;False
2022-09-11;14;6;0;0;3;False
2022-09-18;13;5;1;0;3;False
2022-09-25;13;6;1;0;3;False
2022-10-02;16;5;1;0;3;False
2022-10-09;16;9;1;0;3;False
2022-10-16;16;6;2;0;3;False
2022-10-23;15;8;1;0;2;False
2022-10-30;11;6;2;0;2;False
2022-11-06;16;5;1;0;3;False
2022-11-13;9;5;1;0;2;False
2022-11-20;7;7;1;0;3;False
2022-11-27;7;6;1;4;3;False
2022-12-04;7;5;1;41;2;False
2022-12-11;6;6;0;56;2;False
2022-12-18;8;6;1;23;2;False
2022-12-25;9;12;0;21;3;False
2023-01-01;15;15;1;45;4;False
2023-01-08;14;9;1;68;3;False
2023-01-15;9;6;1;75;3;False
2023-01-22;12;5;1;81;3;False
2023-01-29;46;5;1;100;3;False
