date;ghislaine maxwell;Jeremy Renner;amber heard;Centrelink;air travel;isPartial
2022-01-02;5;1;1;0;1;False
2022-01-09;2;0;1;0;1;False
2022-01-16;3;0;1;0;1;False
2022-01-23;1;0;1;0;1;False
2022-01-30;1;0;1;0;1;False
2022-02-06;1;0;1;0;1;False
2022-02-13;1;0;1;0;1;False
2022-02-20;1;0;1;0;1;False
2022-02-27;0;0;0;0;1;False
2022-03-06;1;0;0;0;1;False
2022-03-13;0;0;0;0;1;False
2022-03-20;0;0;1;0;1;False
2022-03-27;1;0;1;0;1;False
2022-04-03;2;0;1;0;1;False
2022-04-10;2;0;12;0;1;False
2022-04-17;1;0;38;0;1;False
2022-04-24;1;0;59;0;1;False
2022-05-01;2;0;69;0;1;False
2022-05-08;1;0;34;0;1;False
2022-05-15;0;0;65;0;1;False
2022-05-22;0;0;69;0;1;False
2022-05-29;1;0;100;0;1;False
2022-06-05;0;0;19;0;1;False
2022-06-12;0;0;15;0;1;False
2022-06-19;0;0;8;0;1;False
2022-06-26;6;0;4;0;1;False
2022-07-03;2;0;4;0;1;False
2022-07-10;1;0;4;0;1;False
2022-07-17;0;0;3;0;1;False
2022-07-24;0;0;3;0;1;False
2022-07-31;0;0;3;0;1;False
2022-08-07;0;0;4;0;1;False
2022-08-14;0;0;3;0;1;False
2022-08-21;0;0;2;0;1;False
2022-08-28;0;0;2;0;1;False
2022-09-04;0;0;2;0;1;False
2022-09-11;0;0;1;0;1;False
2022-09-18;0;0;2;0;1;False
2022-09-25;0;0;1;0;1;False
2022-10-02;0;0;2;0;1;False
2022-10-09;0;0;1;0;1;False
2022-10-16;1;0;1;0;1;False
2022-10-23;0;0;1;0;1;False
2022-10-30;0;0;1;0;1;False
2022-11-06;0;0;2;0;1;False
2022-11-13;0;0;1;0;1;False
2022-11-20;1;0;1;0;1;False
2022-11-27;2;0;1;0;1;False
2022-12-04;1;0;1;0;1;False
2022-12-11;0;0;1;0;1;False
2022-12-18;0;0;2;0;1;False
2022-12-25;0;0;1;0;1;False
2023-01-01;0;30;1;0;1;False
2023-01-08;0;4;1;0;1;False
2023-01-15;0;5;1;0;1;False
2023-01-22;2;4;1;0;1;False
2023-01-29;0;1;1;0;1;False
