date;A&E;Eating disorders;Boris Johnson;myanmar;air travel;isPartial
2022-01-02;2;0;11;1;1;False
2022-01-09;2;1;34;1;1;False
2022-01-16;2;1;24;1;1;False
2022-01-23;2;1;22;1;1;False
2022-01-30;2;1;23;1;1;False
2022-02-06;2;1;13;1;1;False
2022-02-13;2;1;7;1;1;False
2022-02-20;2;1;15;1;1;False
2022-02-27;2;1;7;1;1;False
2022-03-06;2;1;5;1;1;False
2022-03-13;2;1;4;1;1;False
2022-03-20;2;0;5;1;1;False
2022-03-27;2;1;7;1;1;False
2022-04-03;2;1;6;1;1;False
2022-04-10;2;0;12;1;1;False
2022-04-17;2;0;11;1;1;False
2022-04-24;2;1;9;1;1;False
2022-05-01;2;1;9;1;1;False
2022-05-08;2;1;6;1;1;False
2022-05-15;2;1;5;1;1;False
2022-05-22;2;1;13;1;1;False
2022-05-29;2;0;10;1;1;False
2022-06-05;2;0;35;1;1;False
2022-06-12;2;0;6;1;1;False
2022-06-19;2;0;9;1;1;False
2022-06-26;2;0;9;1;1;False
2022-07-03;2;0;100;1;1;False
2022-07-10;3;0;13;1;1;False
2022-07-17;2;0;8;1;1;False
2022-07-24;2;0;5;1;1;False
2022-07-31;2;0;4;1;1;False
2022-08-07;2;0;4;1;1;False
2022-08-14;2;0;4;1;1;False
2022-08-21;2;0;4;1;1;False
2022-08-28;2;0;6;1;1;False
2022-09-04;2;0;15;1;1;False
2022-09-11;2;0;3;1;1;False
2022-09-18;2;0;4;1;1;False
2022-09-25;2;0;4;1;1;False
2022-10-02;2;0;4;1;1;False
2022-10-09;2;0;4;1;1;False
2022-10-16;2;0;24;1;1;False
2022-10-23;2;0;15;1;1;False
2022-10-30;2;0;3;1;1;False
2022-11-06;2;1;3;1;1;False
2022-11-13;2;0;2;1;1;False
2022-11-20;2;0;1;0;1;False
2022-11-27;2;0;1;0;1;False
2022-12-04;3;0;1;1;1;False
2022-12-11;3;0;1;1;1;False
2022-12-18;3;0;1;1;1;False
2022-12-25;3;0;2;1;1;False
2023-01-01;4;0;1;1;1;False
2023-01-08;3;0;2;1;1;False
2023-01-15;2;0;2;1;1;False
2023-01-22;2;1;3;1;1;False
2023-01-29;2;0;3;1;1;False
