date;antibiotics;sage;liberia;banksy;air travel;isPartial
2022-01-01;34;63;1;7;4;False
2022-01-02;35;70;1;9;7;False
2022-01-03;35;78;1;10;5;False
2022-01-04;43;92;1;11;6;False
2022-01-05;48;91;2;10;8;False
2022-01-06;46;89;2;8;6;False
2022-01-07;41;79;1;8;7;False
2022-01-08;37;72;1;9;7;False
2022-01-09;33;80;1;8;6;False
2022-01-10;42;94;3;9;10;False
2022-01-11;39;85;2;8;8;False
2022-01-12;38;86;1;7;7;False
2022-01-13;43;85;1;5;10;False
2022-01-14;39;72;2;8;9;False
2022-01-15;37;79;3;8;7;False
2022-01-16;30;82;1;13;7;False
2022-01-17;42;89;1;12;7;False
2022-01-18;35;89;1;10;6;False
2022-01-19;34;81;1;8;8;False
2022-01-20;36;90;3;10;6;False
2022-01-21;33;81;2;11;4;False
2022-01-22;32;72;1;10;6;False
2022-01-23;31;70;1;14;7;False
2022-01-24;45;100;4;11;10;False
2022-01-25;37;85;2;9;5;False
2022-01-26;40;87;1;7;7;False
2022-01-27;38;92;2;14;7;False
2022-01-28;40;94;1;11;5;False
2022-01-29;34;69;1;13;6;False
2022-01-30;32;72;2;8;7;False
2022-01-31;38;87;3;8;9;False
