date;Family finances;Income inequality;Food poverty;Jack Monroe;air travel;isPartial
2022-01-01;0;0;0;0;11;False
2022-01-02;0;2;0;6;21;False
2022-01-03;0;0;0;2;17;False
2022-01-04;0;0;0;5;18;False
2022-01-05;0;0;0;0;26;False
2022-01-06;2;0;0;0;20;False
2022-01-07;0;2;2;0;21;False
2022-01-08;4;0;0;4;24;False
2022-01-09;0;0;0;4;18;False
2022-01-10;0;1;2;0;32;False
2022-01-11;0;2;2;0;26;False
2022-01-12;0;2;0;3;22;False
2022-01-13;0;2;0;4;33;False
2022-01-14;0;2;0;2;28;False
2022-01-15;0;0;3;4;22;False
2022-01-16;0;0;3;0;24;False
2022-01-17;0;4;3;4;22;False
2022-01-18;0;0;4;4;20;False
2022-01-19;0;0;2;5;25;False
2022-01-20;0;0;3;16;18;False
2022-01-21;0;0;5;63;13;False
2022-01-22;0;0;0;24;18;False
2022-01-23;2;3;3;30;23;False
2022-01-24;0;3;4;34;32;False
2022-01-25;0;2;3;24;16;False
2022-01-26;0;0;1;100;21;False
2022-01-27;2;2;0;61;24;False
2022-01-28;0;0;0;13;16;False
2022-01-29;0;0;0;16;20;False
2022-01-30;0;1;4;11;24;False
2022-01-31;0;0;0;18;27;False
