date;Politics books;Technology sector;Genetics;Economic growth (GDP);air travel;isPartial
2022-01-01;0;0;35;0;32;False
2022-01-02;0;0;57;0;59;False
2022-01-03;0;5;43;0;57;False
2022-01-04;0;0;100;0;76;False
2022-01-05;25;29;50;0;75;False
2022-01-06;0;15;66;13;67;False
2022-01-07;0;4;77;6;75;False
2022-01-08;0;0;64;0;61;False
2022-01-09;0;0;46;0;60;False
2022-01-10;0;0;84;7;91;False
2022-01-11;0;27;94;10;68;False
2022-01-12;0;0;74;9;73;False
2022-01-13;11;0;77;0;88;False
2022-01-14;0;0;66;5;76;False
2022-01-15;0;19;74;15;66;False
2022-01-16;8;0;57;17;78;False
2022-01-17;0;0;81;9;43;False
2022-01-18;5;13;93;0;63;False
2022-01-19;0;0;75;5;65;False
2022-01-20;0;0;74;5;45;False
2022-01-21;12;0;79;8;41;False
2022-01-22;0;0;40;0;63;False
2022-01-23;0;0;59;0;68;False
2022-01-24;0;8;84;0;93;False
2022-01-25;7;6;92;10;52;False
2022-01-26;0;0;99;0;70;False
2022-01-27;5;0;61;8;58;False
2022-01-28;0;0;75;0;53;False
2022-01-29;0;0;35;0;55;False
2022-01-30;6;0;46;0;82;False
2022-01-31;0;0;96;0;82;False
