date;Dairy-free;Ovarian cancer;Essential poll;Heart disease;air travel;isPartial
2022-01-01;0;31;0;35;25;False
2022-01-02;6;48;0;47;47;False
2022-01-03;5;46;0;42;38;False
2022-01-04;0;33;0;47;40;False
2022-01-05;0;57;0;73;57;False
2022-01-06;0;46;0;64;45;False
2022-01-07;0;56;0;58;47;False
2022-01-08;6;36;0;49;53;False
2022-01-09;4;41;0;63;41;False
2022-01-10;0;50;0;72;72;False
2022-01-11;6;46;0;58;58;False
2022-01-12;0;54;0;69;50;False
2022-01-13;9;95;0;58;74;False
2022-01-14;0;50;0;54;62;False
2022-01-15;8;90;0;44;49;False
2022-01-16;7;69;0;31;53;False
2022-01-17;4;67;0;59;48;False
2022-01-18;0;55;0;63;44;False
2022-01-19;0;61;0;61;55;False
2022-01-20;4;60;0;56;40;False
2022-01-21;4;69;0;52;28;False
2022-01-22;5;61;0;49;39;False
2022-01-23;12;100;0;54;51;False
2022-01-24;6;73;0;83;72;False
2022-01-25;3;66;0;84;37;False
2022-01-26;0;53;0;74;47;False
2022-01-27;0;43;0;69;53;False
2022-01-28;0;60;0;63;37;False
2022-01-29;8;70;0;58;45;False
2022-01-30;0;40;0;55;53;False
2022-01-31;7;60;0;60;61;False
