date;Brisbane Roar;The Go-Betweens;Back pain;Royal commission into aged care quality and safety;air travel;isPartial
2022-01-01;0;0;76;0;4;False
2022-01-02;0;0;94;0;7;False
2022-01-03;0;0;100;0;6;False
2022-01-04;0;0;99;0;6;False
2022-01-05;0;2;85;0;9;False
2022-01-06;0;0;74;0;7;False
2022-01-07;0;0;79;0;7;False
2022-01-08;2;0;81;0;8;False
2022-01-09;0;0;91;0;6;False
2022-01-10;0;1;100;0;11;False
2022-01-11;1;0;82;0;9;False
2022-01-12;0;0;86;0;8;False
2022-01-13;0;1;87;0;11;False
2022-01-14;0;0;69;0;10;False
2022-01-15;2;1;77;0;8;False
2022-01-16;0;0;88;0;8;False
2022-01-17;0;0;94;0;7;False
2022-01-18;0;1;81;0;7;False
2022-01-19;1;0;66;0;9;False
2022-01-20;1;0;77;0;6;False
2022-01-21;0;0;76;0;4;False
2022-01-22;0;0;86;0;6;False
2022-01-23;1;0;74;0;8;False
2022-01-24;0;0;95;0;11;False
2022-01-25;1;0;84;0;6;False
2022-01-26;1;1;76;0;7;False
2022-01-27;0;0;77;0;8;False
2022-01-28;0;0;76;0;6;False
2022-01-29;1;0;78;0;7;False
2022-01-30;0;0;84;0;8;False
2022-01-31;0;0;87;0;9;False
