date;Bipolar disorder;4G;5G;Daily Mail & General Trust;air travel;isPartial
2022-01-01;6;17;54;0;5;False
2022-01-02;7;23;61;0;10;False
2022-01-03;9;24;61;0;8;False
2022-01-04;8;21;77;0;8;False
2022-01-05;8;27;72;0;12;False
2022-01-06;8;22;61;0;9;False
2022-01-07;7;23;67;0;10;False
2022-01-08;8;20;63;0;11;False
2022-01-09;7;22;58;0;8;False
2022-01-10;7;28;65;0;15;False
2022-01-11;8;21;64;0;12;False
2022-01-12;6;24;57;0;10;False
2022-01-13;6;24;68;0;15;False
2022-01-14;11;20;57;0;13;False
2022-01-15;7;23;66;0;10;False
2022-01-16;11;26;64;0;11;False
2022-01-17;7;27;64;0;10;False
2022-01-18;6;30;100;0;9;False
2022-01-19;6;23;92;0;11;False
2022-01-20;9;21;80;0;8;False
2022-01-21;8;25;74;0;6;False
2022-01-22;8;24;67;0;8;False
2022-01-23;10;23;65;0;11;False
2022-01-24;12;28;77;0;15;False
2022-01-25;11;28;65;0;8;False
2022-01-26;6;25;63;0;10;False
2022-01-27;9;23;56;0;11;False
2022-01-28;8;27;63;0;8;False
2022-01-29;5;23;70;0;9;False
2022-01-30;6;23;54;0;11;False
2022-01-31;10;22;70;0;13;False
