date;Australian economy;Josh Frydenberg;Welfare;Birds;air travel;isPartial
2022-01-01;0;0;10;81;4;False
2022-01-02;0;0;11;84;7;False
2022-01-03;0;0;14;78;6;False
2022-01-04;0;0;18;70;6;False
2022-01-05;0;0;22;74;8;False
2022-01-06;0;1;23;69;7;False
2022-01-07;0;0;28;79;7;False
2022-01-08;0;0;15;89;8;False
2022-01-09;0;2;16;82;6;False
2022-01-10;0;2;32;70;11;False
2022-01-11;0;0;31;73;9;False
2022-01-12;0;0;26;67;7;False
2022-01-13;1;0;30;79;11;False
2022-01-14;0;0;20;75;9;False
2022-01-15;0;1;15;84;7;False
2022-01-16;0;1;19;94;8;False
2022-01-17;0;1;31;78;7;False
2022-01-18;0;0;28;75;7;False
2022-01-19;0;0;25;66;8;False
2022-01-20;0;0;30;75;6;False
2022-01-21;0;0;20;78;4;False
2022-01-22;0;0;13;83;6;False
2022-01-23;0;1;14;81;8;False
2022-01-24;0;0;29;86;11;False
2022-01-25;1;0;27;76;5;False
2022-01-26;0;0;22;70;7;False
2022-01-27;0;2;23;72;8;False
2022-01-28;0;0;22;89;5;False
2022-01-29;0;0;15;86;7;False
2022-01-30;0;0;14;100;8;False
2022-01-31;1;0;22;77;9;False
