date;Government borrowing;Budget deficit;Public finance;Economic recovery;air travel;isPartial
2022-01-01;0;0;13;20;34;False
2022-01-02;8;12;10;5;63;False
2022-01-03;0;0;7;0;51;False
2022-01-04;0;0;0;11;54;False
2022-01-05;12;5;0;0;77;False
2022-01-06;6;0;7;0;61;False
2022-01-07;0;0;9;0;63;False
2022-01-08;0;0;7;0;71;False
2022-01-09;0;0;0;8;55;False
2022-01-10;5;0;0;0;97;False
2022-01-11;0;5;21;6;79;False
2022-01-12;0;9;5;0;67;False
2022-01-13;0;0;5;14;100;False
2022-01-14;5;0;0;0;84;False
2022-01-15;0;0;12;0;66;False
2022-01-16;7;0;6;0;72;False
2022-01-17;7;6;7;6;65;False
2022-01-18;6;0;6;0;59;False
2022-01-19;4;0;0;4;74;False
2022-01-20;0;6;0;0;54;False
2022-01-21;0;0;16;0;38;False
2022-01-22;0;7;0;6;53;False
2022-01-23;6;8;0;11;69;False
2022-01-24;0;0;0;6;97;False
2022-01-25;0;7;8;0;49;False
2022-01-26;5;0;5;0;64;False
2022-01-27;14;0;18;0;71;False
2022-01-28;0;0;5;7;49;False
2022-01-29;7;0;0;0;60;False
2022-01-30;0;0;0;0;71;False
2022-01-31;0;8;13;0;82;False
