date;north carolina;drax group;long covid;vaccine passports;air travel;isPartial
2022-01-01;2;0;87;0;2;False
2022-01-02;3;0;94;0;3;False
2022-01-03;4;0;98;1;3;False
2022-01-04;2;0;100;1;3;False
2022-01-05;2;0;89;0;4;False
2022-01-06;3;0;80;0;3;False
2022-01-07;2;0;75;1;3;False
2022-01-08;2;0;77;0;4;False
2022-01-09;2;0;76;2;3;False
2022-01-10;2;0;78;1;5;False
2022-01-11;4;0;65;0;4;False
2022-01-12;3;0;62;1;4;False
2022-01-13;4;0;61;1;5;False
2022-01-14;3;0;48;1;4;False
2022-01-15;2;0;53;1;3;False
2022-01-16;3;0;60;1;4;False
2022-01-17;2;0;61;1;3;False
2022-01-18;2;0;57;1;3;False
2022-01-19;3;0;56;2;4;False
2022-01-20;2;1;57;1;3;False
2022-01-21;3;0;59;1;2;False
2022-01-22;3;0;47;1;3;False
2022-01-23;2;0;54;0;4;False
2022-01-24;3;0;68;1;5;False
2022-01-25;3;0;54;1;3;False
2022-01-26;2;0;53;0;3;False
2022-01-27;2;0;50;1;4;False
2022-01-28;2;0;46;0;3;False
2022-01-29;3;0;51;0;3;False
2022-01-30;6;0;51;0;4;False
2022-01-31;3;0;57;0;4;False
