date;Health;Vaccines and immunisation;Conservatives;Politics;air travel;isPartial
2022-01-01;42;0;0;2;0;False
2022-01-02;47;0;0;7;1;False
2022-01-03;60;0;0;3;1;False
2022-01-04;80;0;0;3;1;False
2022-01-05;79;0;0;4;1;False
2022-01-06;74;0;0;3;1;False
2022-01-07;75;0;0;3;1;False
2022-01-08;45;0;0;2;1;False
2022-01-09;54;0;0;3;1;False
2022-01-10;90;0;0;4;1;False
2022-01-11;77;0;0;3;1;False
2022-01-12;79;0;1;4;1;False
2022-01-13;85;0;2;4;1;False
2022-01-14;66;0;1;3;1;False
2022-01-15;46;0;0;3;1;False
2022-01-16;51;0;0;3;1;False
2022-01-17;83;0;1;4;1;False
2022-01-18;80;0;0;4;1;False
2022-01-19;72;0;1;4;1;False
2022-01-20;68;0;0;4;1;False
2022-01-21;66;0;0;3;0;False
2022-01-22;42;0;0;3;1;False
2022-01-23;50;0;0;3;1;False
2022-01-24;100;0;0;5;1;False
2022-01-25;76;0;1;4;1;False
2022-01-26;76;0;0;4;1;False
2022-01-27;78;0;0;4;1;False
2022-01-28;73;0;0;3;1;False
2022-01-29;40;0;0;3;1;False
2022-01-30;43;0;0;2;1;False
2022-01-31;83;0;0;4;1;False
