date;Pregnancy;Midwifery;Men;Cystic fibrosis;air travel;isPartial
2022-01-01;47;1;78;1;1;False
2022-01-02;51;1;88;1;1;False
2022-01-03;51;1;90;1;1;False
2022-01-04;55;2;77;1;2;False
2022-01-05;50;1;80;1;2;False
2022-01-06;46;2;69;1;1;False
2022-01-07;48;1;81;1;2;False
2022-01-08;46;1;88;1;1;False
2022-01-09;49;1;96;1;1;False
2022-01-10;49;2;83;1;2;False
2022-01-11;50;2;82;1;1;False
2022-01-12;46;1;70;1;2;False
2022-01-13;49;2;71;1;2;False
2022-01-14;45;1;66;1;2;False
2022-01-15;47;1;86;1;1;False
2022-01-16;51;2;99;1;2;False
2022-01-17;49;2;71;1;1;False
2022-01-18;44;2;70;1;1;False
2022-01-19;44;2;67;1;1;False
2022-01-20;42;1;66;1;1;False
2022-01-21;44;1;68;1;1;False
2022-01-22;48;1;81;1;1;False
2022-01-23;48;1;94;1;1;False
2022-01-24;52;2;79;2;2;False
2022-01-25;43;2;86;1;1;False
2022-01-26;45;1;70;1;1;False
2022-01-27;45;1;66;1;1;False
2022-01-28;46;1;70;1;1;False
2022-01-29;44;0;100;0;1;False
2022-01-30;46;1;88;1;2;False
2022-01-31;50;2;74;1;2;False
