date;Women's rights and gender equality;Honduras;Paraguay;Climate crisis in the American west;air travel;isPartial
2022-01-01;0;16;13;0;34;False
2022-01-02;0;16;17;0;63;False
2022-01-03;0;23;16;0;51;False
2022-01-04;0;24;5;0;54;False
2022-01-05;0;21;14;0;77;False
2022-01-06;0;20;31;0;61;False
2022-01-07;0;19;27;0;63;False
2022-01-08;0;21;12;0;71;False
2022-01-09;0;22;65;0;55;False
2022-01-10;0;15;19;0;97;False
2022-01-11;0;10;18;0;79;False
2022-01-12;0;13;26;0;67;False
2022-01-13;0;36;16;0;100;False
2022-01-14;0;8;19;0;84;False
2022-01-15;0;21;18;0;66;False
2022-01-16;0;49;16;0;72;False
2022-01-17;0;29;26;0;65;False
2022-01-18;0;30;17;0;59;False
2022-01-19;0;22;14;0;74;False
2022-01-20;0;16;7;0;54;False
2022-01-21;0;23;16;0;38;False
2022-01-22;0;21;22;0;53;False
2022-01-23;0;26;11;0;69;False
2022-01-24;0;12;15;0;97;False
2022-01-25;0;17;23;0;49;False
2022-01-26;0;15;23;0;64;False
2022-01-27;0;39;52;0;71;False
2022-01-28;0;41;87;0;49;False
2022-01-29;0;24;18;0;60;False
2022-01-30;0;21;16;0;71;False
2022-01-31;0;46;15;0;82;False
