date;betty white;consumer;daily podcast;gabby petito;air travel;isPartial
2022-01-01;100;1;0;0;0;False
2022-01-02;23;2;0;0;1;False
2022-01-03;12;2;0;0;1;False
2022-01-04;9;3;0;0;1;False
2022-01-05;6;3;0;0;1;False
2022-01-06;4;4;0;0;1;False
2022-01-07;3;3;0;0;1;False
2022-01-08;2;2;0;0;1;False
2022-01-09;2;3;0;0;1;False
2022-01-10;3;4;0;0;1;False
2022-01-11;2;5;0;0;1;False
2022-01-12;1;4;0;0;1;False
2022-01-13;1;4;0;0;1;False
2022-01-14;1;3;0;0;1;False
2022-01-15;1;2;0;0;1;False
2022-01-16;1;2;0;0;1;False
2022-01-17;27;5;0;0;1;False
2022-01-18;23;4;0;0;1;False
2022-01-19;4;4;0;0;1;False
2022-01-20;3;3;0;0;0;False
2022-01-21;2;3;0;1;0;False
2022-01-22;2;2;0;2;1;False
2022-01-23;1;2;0;0;1;False
2022-01-24;1;5;0;0;1;False
2022-01-25;1;3;0;0;1;False
2022-01-26;0;4;0;0;1;False
2022-01-27;1;3;0;0;1;False
2022-01-28;1;3;0;0;1;False
2022-01-29;1;2;0;0;1;False
2022-01-30;1;2;0;1;1;False
2022-01-31;0;4;0;1;1;False
