date;Menopause;Fertility problems;GCSEs;Cardi B;air travel;isPartial
2022-01-01;44;0;3;13;5;False
2022-01-02;51;0;10;12;9;False
2022-01-03;54;0;5;9;7;False
2022-01-04;39;0;5;10;8;False
2022-01-05;49;2;10;9;11;False
2022-01-06;46;0;8;10;9;False
2022-01-07;44;0;9;13;9;False
2022-01-08;43;0;10;16;10;False
2022-01-09;45;1;7;10;8;False
2022-01-10;53;0;8;13;14;False
2022-01-11;55;2;11;9;11;False
2022-01-12;100;0;13;6;10;False
2022-01-13;67;0;11;4;14;False
2022-01-14;47;0;9;8;12;False
2022-01-15;61;0;8;9;9;False
2022-01-16;61;0;8;10;10;False
2022-01-17;58;0;10;10;9;False
2022-01-18;67;0;8;7;8;False
2022-01-19;59;0;9;11;11;False
2022-01-20;52;0;9;12;8;False
2022-01-21;63;1;10;12;5;False
2022-01-22;53;0;8;11;8;False
2022-01-23;57;0;9;9;10;False
2022-01-24;60;0;11;11;14;False
2022-01-25;57;1;12;24;7;False
2022-01-26;63;0;10;15;9;False
2022-01-27;54;0;10;10;10;False
2022-01-28;55;0;8;14;7;False
2022-01-29;50;0;7;10;9;False
2022-01-30;51;0;9;11;10;False
2022-01-31;59;1;9;8;12;False
