date;ukraine conflict;burkina faso;addiction;work-life balance;air travel;isPartial
2022-01-01;0;4;63;2;13;False
2022-01-02;4;4;71;0;25;False
2022-01-03;0;3;74;0;21;False
2022-01-04;0;4;80;0;19;False
2022-01-05;3;9;72;0;32;False
2022-01-06;2;3;68;3;26;False
2022-01-07;9;9;66;0;25;False
2022-01-08;0;4;56;0;25;False
2022-01-09;0;96;83;0;15;False
2022-01-10;0;14;80;0;39;False
2022-01-11;0;14;64;0;26;False
2022-01-12;8;8;63;5;27;False
2022-01-13;0;25;73;0;32;False
2022-01-14;2;8;55;2;30;False
2022-01-15;0;6;63;0;30;False
2022-01-16;6;6;71;0;33;False
2022-01-17;2;29;63;0;19;False
2022-01-18;0;9;64;0;26;False
2022-01-19;2;2;64;0;29;False
2022-01-20;6;9;65;6;19;False
2022-01-21;6;5;58;0;14;False
2022-01-22;10;5;77;0;21;False
2022-01-23;0;69;67;0;26;False
2022-01-24;12;93;82;0;33;False
2022-01-25;18;36;78;0;19;False
2022-01-26;10;17;69;4;25;False
2022-01-27;8;10;62;0;22;False
2022-01-28;5;10;60;0;18;False
2022-01-29;7;100;54;0;23;False
2022-01-30;10;46;64;0;29;False
2022-01-31;6;15;70;0;35;False
