date;Flamenco;Evolution;Kenya;US political financing;air travel;isPartial
2022-01-01;2;78;30;0;5;False
2022-01-02;1;79;35;0;10;False
2022-01-03;2;74;37;0;8;False
2022-01-04;3;75;31;0;8;False
2022-01-05;3;69;37;0;12;False
2022-01-06;3;66;36;0;10;False
2022-01-07;2;70;33;0;10;False
2022-01-08;3;76;30;0;11;False
2022-01-09;3;75;38;0;9;False
2022-01-10;1;60;39;0;15;False
2022-01-11;2;65;47;0;12;False
2022-01-12;3;66;43;0;11;False
2022-01-13;2;65;43;0;16;False
2022-01-14;2;62;37;0;13;False
2022-01-15;7;74;36;0;10;False
2022-01-16;5;75;41;0;11;False
2022-01-17;3;58;40;0;10;False
2022-01-18;3;64;39;0;9;False
2022-01-19;2;58;33;0;12;False
2022-01-20;1;53;35;0;8;False
2022-01-21;2;60;33;0;6;False
2022-01-22;3;64;35;0;8;False
2022-01-23;3;70;44;0;11;False
2022-01-24;5;69;50;0;15;False
2022-01-25;2;59;33;0;8;False
2022-01-26;2;58;41;0;10;False
2022-01-27;3;57;41;0;11;False
2022-01-28;3;82;39;0;8;False
2022-01-29;3;98;34;0;9;False
2022-01-30;7;100;34;0;11;False
2022-01-31;3;86;39;0;13;False
