date;Manufacturing sector;Asia Pacific;Economics;South Africa;air travel;isPartial
2022-01-01;0;1;9;45;3;False
2022-01-02;0;0;13;55;5;False
2022-01-03;0;0;18;80;4;False
2022-01-04;0;0;21;87;5;False
2022-01-05;0;1;26;89;7;False
2022-01-06;0;1;23;92;5;False
2022-01-07;0;0;23;51;5;False
2022-01-08;0;1;17;47;6;False
2022-01-09;0;1;23;51;5;False
2022-01-10;0;2;33;50;8;False
2022-01-11;0;1;32;89;7;False
2022-01-12;0;1;33;84;6;False
2022-01-13;0;2;33;100;8;False
2022-01-14;0;0;21;75;7;False
2022-01-15;0;1;17;50;6;False
2022-01-16;0;0;17;48;6;False
2022-01-17;0;1;32;46;6;False
2022-01-18;0;0;28;43;5;False
2022-01-19;0;1;26;80;6;False
2022-01-20;0;1;28;44;5;False
2022-01-21;0;1;24;82;3;False
2022-01-22;0;1;14;45;5;False
2022-01-23;0;0;24;92;6;False
2022-01-24;0;1;39;61;8;False
2022-01-25;0;1;31;45;4;False
2022-01-26;0;1;31;47;5;False
2022-01-27;1;1;23;40;6;False
2022-01-28;0;1;24;42;4;False
2022-01-29;0;1;14;43;5;False
2022-01-30;0;1;16;38;6;False
2022-01-31;0;2;31;42;7;False
