date;Carbon offsetting;Greenhouse gas emissions;Cop26;Inequality;air travel;isPartial
2022-01-01;0;8;28;20;32;False
2022-01-02;0;5;32;46;62;False
2022-01-03;0;0;28;39;52;False
2022-01-04;0;0;36;48;47;False
2022-01-05;6;0;58;44;78;False
2022-01-06;9;0;39;65;63;False
2022-01-07;0;0;32;69;61;False
2022-01-08;4;10;33;46;60;False
2022-01-09;0;8;42;71;36;False
2022-01-10;0;0;39;72;95;False
2022-01-11;11;13;41;78;65;False
2022-01-12;5;0;55;56;66;False
2022-01-13;9;0;41;71;78;False
2022-01-14;12;5;26;72;74;False
2022-01-15;7;8;17;35;72;False
2022-01-16;0;0;25;80;80;False
2022-01-17;0;11;54;95;47;False
2022-01-18;0;5;39;65;63;False
2022-01-19;0;0;39;72;71;False
2022-01-20;0;0;38;72;45;False
2022-01-21;0;0;26;46;35;False
2022-01-22;4;0;18;32;51;False
2022-01-23;12;0;27;63;64;False
2022-01-24;10;27;40;100;81;False
2022-01-25;0;9;53;97;48;False
2022-01-26;7;6;46;76;62;False
2022-01-27;0;0;39;60;54;False
2022-01-28;17;16;29;66;45;False
2022-01-29;0;0;10;31;57;False
2022-01-30;0;0;22;47;71;False
2022-01-31;0;6;45;61;85;False
