;Title;Date;Authors;Tags;NLP Keywords;Text;Url
0;Ambulance workers to stage 10 further strikes as row over pay and staffing escalates;Friday 20 January 2023 09:22, UK;[];['nhs', 'strikes'];['20', 'workers', 'staffing', 'row', 'nhs', 'members', 'escalates', 'ambulance', 'stage', 'pay', 'life', 'limb', 'dispute', 'striking', 'strikes'];"A series of fresh walkouts by ambulance workers has been announced by Unite in an escalation of the bitter dispute over pay and staffing.

The union said its members across England, Wales and Northern Ireland will stage 10 further strikes over the coming weeks, warning that additional dates could be announced soon.

Unite's ambulance workers are already set to walk out next Monday as the bitter row with the government remains deadlocked.

Unite gave details of when its members - employed by different ambulance trusts - will be striking:

• West Midlands: 6 and 17 February and 6 and 20 March

• North East: 6 and 20 February and 6 and 20 March

• East Midlands: 6 and 20 February and 6 and 20 March

• Wales: 6 and 20 February and 6 and 20 March

• North West: 6 and 22 February and 6 March and March 20

• Northern Ireland: 26 January and 16, 17, 23 and 24 February

Unite general secretary Sharon Graham said: ""Rather than act to protect the NHS and negotiate an end to the dispute, the government has disgracefully chosen to demonise ambulance workers.

""Ministers are deliberately misleading the public about the life and limb cover and who is to blame for excessive deaths.

""Our members faithfully provide life and limb cover on strike days and it's not the unions who are not providing minimum service levels.

""It's this government's disastrous handling of the NHS that has brought it to breaking point, and as crisis piles on crisis, the prime minister is seen to be washing his hands of the dispute. What a disgrace. What an abdication of leadership.""

Advertisement

Please use Chrome browser for a more accessible video player 2:34 NHS: 'It can't continue like this'

Read more:

Paramedics warn patients are waiting up to 26 hours to get into hospital

NHS leaders making contingency plans as biggest walkout in its history looms

Hundreds of striking nurses descend on Downing Street

Unite said representatives will be working at regional levels to agree derogations to ensure emergency life and limb cover stays in place during the walkout.

Other exemptions will ensure that patients needing lifesaving treatment, such as renal care and cancer treatment, will be transported to their appointments, said the union.

Unite official Onay Kasab said: ""The resolution to this dispute is in the government's hands. This dispute will only be resolved when it enters into proper negotiations about the current pay dispute.

""The government's constant attempts to kick the can down the road and its talk about one off payments, or slightly increased pay awards in the future, is simply not good enough to resolve this dispute.""

Members of the Royal College of Nursing and ambulance workers in the GMB are striking on 6 February, while the GMB has also called strikes on 20 February as well as 6 and 20 March.";https://web.archive.org/web/20230120083210/http://news.sky.com/story/ambulance-workers-to-stage-10-further-strikes-as-row-over-pay-and-staffing-escalates-12790743
1;'Toadzilla': Giant cane toad found in Australia weighing 2.7kg;Friday 20 January 2023 07:17, UK;[];['australia'];['weighing', 'museum', 'queensland', 'toads', 'rangers', 'australia', 'cane', 'giant', 'shocked', 'pet', 'toadzilla', 'weighed', '27kg', 'largest', 'toad'];"A giant cane toad dubbed ""Toadzilla"" has been discovered in Australia.

The amphibian, which weighs 2.7kg, shocked rangers who stumbled across it at the Conway National Park in North Queensland.

Queensland Department of Environment and Science said rangers were clearing a trail when they spotted the toad.

Ranger Kylee Gray said her team were ""blown away"" by the ""monster"" cane toad which weighed 2.7kg and is believed to be female.

She told the Australian Broadcasting Corp it was by far the largest toad she had encountered and said it looked ""almost like a football with legs"".

""We weighed it when we got back to base late that afternoon and we got her at 2.7 kilos which just shocked us, absolutely blew us away,"" she said.

""We measured her, we got I think 255mm, but I believe the Queensland Museum will be doing their measurements when they receive her.""

The Guinness World Record for the largest toad in history is 2.65kg - set by a pet toad in Sweden in 1991.

Read more:

Bison rewilding in Kent gets boost as bull joins female herd

Seal pup population soars along stretch of Norfolk coast

Advertisement

Image: Pic: Queensland Department of Environment and Science/AP

Ms Gray said rangers had dubbed the toad ""Toadzilla"", adding that the museum would be checking if it might be the largest toad found.

Cane toads are native to South America and Central America and were introduced to Australia in 1935, according to the WWF.

The toads mainly eat living insects, but will consume anything they swallow including pet food and household scraps.

Toads are one of Australia's most damaging pests and are now estimated to number over two billion.";https://web.archive.org/web/20230120083210/http://news.sky.com/story/toadzilla-giant-cane-toad-found-in-australia-weighing-2-7kg-12790728
2;A large fire breaks out in Lima, Peru after national anti-government protests;Friday 20 January 2023 07:30, UK;[];[];['peru', 'took', 'national', 'lima', 'breaks', 'antigovernment', 'large', 'soon', 'square', 'president', 'turned', 'protestspeople', 'san', 'streets', 'protests'];"A large fire breaks out in Lima, Peru after national anti-government protests

People in Peru took to the streets for a demonstration against President Dina Boluarte. People poured into the capital from all over the country, but protests soon turned into clashes with police with a fire breaking out near the San Martin Square.";https://web.archive.org/web/20230120083210/http://news.sky.com/video/a-large-fire-breaks-out-in-lima-peru-after-national-anti-government-protests-12790748
3;Huge cane toad discovered in Queensland, Australia;Friday 20 January 2023 07:38, UK;[];[];['museum', 'discovered', 'kilograms', 'huge', 'australia', 'cane', 'ways', 'recorded', 'potentially', 'queensland', 'largest', 'toad'];"Huge cane toad discovered in Queensland, Australia

The toad ways 2.7 kilograms and is potentially the largest ever recorded by Queensland Museum.";https://web.archive.org/web/20230120083210/http://news.sky.com/video/huge-cane-toad-discovered-in-queensland-australia-12790760
4;Cost of living: Retail sales unexpectedly fell by 1% over critical Christmas period;Friday 20 January 2023 07:36, UK;[];['uk economy'];['fell', 'sales', 'period', 'retail', 'living', 'inflation', 'confidence', 'prices', 'dipped', 'month', 'food', 'unexpectedly', 'cost', 'consumer', 'critical', 'christmas'];"Retail sales unexpectedly fell by 1% last month over the vital Christmas period, official figures show.

Economists had forecast a 0.5% rise in December.

It follows a drop of 04% in November.

ONS deputy director for surveys and economic indicators, Heather Bovill, said: ""Retail sales dropped again in December, with feedback suggesting consumers cut back on their Christmas shopping due to affordability concerns.

""After last month's boost as shoppers stocked up early, food sales fell back again in December with supermarkets reporting this was due to increased food prices and the rising cost of living.""

The latest data comes as consumer confidence dipped again to a near-historic low in the face of inflation woes and growing concern about another hike in energy bills.

GfK's long-running Consumer Confidence Index fell three points in January to minus 45 after a short-lived and weak rally in the last quarter.

While the rate of inflation dipped for the second month in a row in December, to 10.5%, offering more evidence the peak of the cost-of-living crisis has passed, this offered little relief for households and businesses still wrestling with high prices.";https://web.archive.org/web/20230120083210/http://news.sky.com/story/retail-sales-unexpectedly-fell-by-1-over-christmas-period-12790747
5;Politics latest: Teachers' unions and government meeting as thousands set to walk out on strike next month;;[];['live'];['energy', 'showed', 'thousands', 'start', 'set', 'unions', 'prices', 'politics', 'strike', 'quite', 'teachers', 'fall', 'rapidly', 'walk', 'winter', 'meeting', 'inflation', 'likely', 'month', 'latest'];"Inflation likely to 'fall quite rapidly' this year - Bank of England governor

Inflation is likely to ""fall quite rapidly"" this year, according to Bank of England governor Andrew Bailey.

The governor told Business Live that a slight reduction in inflation rates last month showed ""the beginning of a sign that a corner has been turned"".

Consumer Price Index (CPI) inflation fell from 10.7% in November to 10.5% in December.

Mr Bailey said: ""What we think is the most likely outcome is that (inflation) will fall quite rapidly this year, probably starting in the late spring and that has a lot to do with energy pricing.

""There was a sort of locked-in level of energy prices over the winter, but we expect it to fall quite rapidly after that, for at least for a couple of reasons.

""One, it is a bit of arithmetic in the sense as it is of course an annual calculation so the big base effects from last year will start to fall out, and unless something happens it will start to fall quite rapidly actually as we showed in our November monetary policy report.

""The other thing that has happened really in the last couple of months is that particularly energy prices have started to come off and gas prices quite a lot actually since the beginning of the winter.""";https://web.archive.org/web/20230120083210/http://news.sky.com/story/politics-latest-teachers-unions-and-government-meeting-as-thousands-of-teachers-set-to-walk-out-on-strike-next-month-12593360
6;Harry & Meghan becomes Netflix's second most successful documentary series ever;Friday 20 January 2023 06:19, UK;[];['meghan markle', 'prince harry'];['book', 'duke', 'prince', 'king', 'successful', 'netflixs', 'meghan', 'harry', 'documentary', 'father', 'claims', 'william', 'saying', 'second', 'revelations', 'series'];"The Duke and Duchess of Sussex's recent Netflix series has been announced as the streaming service's second-highest ranked documentary ever.

The first three episodes of Harry & Meghan were released on 8 December, followed by the final three a week later, in the lead-up to the publication of the duke's controversial memoir Spare.

Reporting its fourth-quarter earnings, Netflix revealed it had gained 7.7 million subscribers during the October-December period, which included the debut of an ad-supported option for $7 (£5.65) per month.

Both Buckingham and Kensington Palace have remained silent over the allegations in the documentary series, which included Harry saying that the Prince of Wales left him terrified after screaming and shouting at him during the Sandringham summit.

The duke, 38, claimed that Kensington Palace ""lied to protect my brother"" when it issued a statement denying a story William had bullied him out of the Royal Family.

He also accused his father, King Charles, of lying at the tense Megxit crisis meeting with the Queen in January 2020.

Harry's autobiographical book Spare had no shortage of explosive revelations either, which became the fastest-selling non-fiction book in the UK since records began in 1998 after its release on 10 January.

The duke has used the 550-plus pages of Spare to make headline-dominating claims including accusing William of physically attacking him and teasing him about his panic attacks, saying King Charles put his own interests above Harry's and, in a US broadcast interview, branding Camilla as the ""villain"" and ""dangerous"".

In the book, he admits for the first time that he has taken cocaine, smoked weed and tried magic mushrooms, and claims to have killed 25 people in Afghanistan during his two tours of duty.

Advertisement

Read more:

Prince Harry: Biggest revelations from his new book Spare

Prince Harry cuts a sad, self-indulgent and naive figure

Now we know just how deep brothers' rift runs

Key revelations in Prince Harry's book The duke admits to using cocaine - saying ""it wasn't very fun""

He claims to have killed 25 people in Afghanistan during his two tours of duty

He says he asked his father not to marry Camilla - and his brother made the same request

He describes how King Charles told him Meghan should not go to Balmoral after the Queen's death

He recalled the moment he found out his mother, Princess Diana, had been in a car accident

He says he lost his virginity to an older woman in a field behind a busy pub

He accuses Prince William of knocking him over during an argument about the Duchess of Sussex

But as Harry pursued a run of high-profile promotional interviews, he said he ""would like nothing more"" than for his children, Archie and Lilibet, to have relationships with the Windsors - despite the criticism he has levelled at his brother, father and stepmother Camilla.

The duke also describes his late mother, Diana, Princess of Wales, as his ""guardian angel"" and said she is with him ""all the time"".";https://web.archive.org/web/20230120083210/http://news.sky.com/story/harry-meghan-becomes-netflixs-second-most-successful-documentary-series-ever-12790720
7;Ukraine war - latest: Zelenskyy highlights 'one European capital' holding up delivery of crucial tanks;;[];['live', 'russia', 'ukraine'];['25bn', 'zelenskyy', 'crucial', 'additional', 'biden', 'vehicles', 'military', 'tanks', 'european', 'systems', 'holding', 'includes', 'assistance', 'artillery', 'war', 'delivery', 'latest', 'highlights', 'ukraine'];"Zelenskyy thanks US for $2.5bn military package

Volodymyr Zelenskyy has thanked President Joe Biden after the US pledged an additional $2.5bn in military assistance to Ukraine.

Last night the Biden administration announced it would be providing further assistance to Ukraine.

The package includes 59 Bradley Fighting Vehicles, 90 Stryker Armoured Personnel Carriers and 53 mine-resistant ambush protected vehicles, the US Defence Department said in a statement.

The latest assistance also includes additional ammunition for High Mobility Artillery Rocket Systems (HIMARS), eight Avenger air-defence systems, tens of thousands of artillery rounds and about 2,000 anti-armour rockets.

In total, the US has committed more than $27.4bn security assistance to Ukraine since Russia invaded in February last year.

";https://web.archive.org/web/20230120083210/http://news.sky.com/story/ukraine-war-latest-zelenskyy-highlights-one-european-capital-holding-up-delivery-of-crucial-tanks-12541713
8;Elle Edwards' dad says Christmas will 'never be the same' as he vows to set up anti-gun foundation in her name;Friday 20 January 2023 07:28, UK;[];['elle edwards'];['elle', 'mr', 'set', 'good', 'elles', 'future', 'edwards', 'memories', 'heart', 'dad', 'gun', 'vows', 'foundation', 'antigun', 'going', 'christmas'];"The father of Elle Edwards, who was shot dead at a pub last month, has said ""Christmas will never be the same"" for him and his family.

In his first interview since her death, Tim Edwards spoke of how his ""beautiful and caring"" daughter ""with a heart of gold"" will never leave him - as he reminded people of the impact gun violence has had on his family.

Paying tribute to the 26-year-old beautician and dental nurse, Mr Edwards told Sky News: ""She's the type of person that would walk into the room and everyone would gravitate towards her because she was always smiling.

""She was beautiful looking and she was a great hugger. She was just a fantastic human being with a heart of gold.""

In an emotional interview ahead of her funeral next week, Mr Edwards spoke of the devastation the family felt on Christmas Eve when they found out she had been killed and the ""struggle"" of the last month.

""Time moves so quick,"" he said.

""In our situation with the developments, Christmas Day didn't mean anything, that had gone. It didn't feel real and Christmas will never be the same. Christmas will never be a point of celebration for me, ever.""

Mr Edwards said Elle remained ""the glue that keeps us all together"" and that her death should not be in vain.

Elle was shot while celebrating with friends at the Lighthouse pub in Wallasey Village, Wirral, shortly before midnight on 24 December.

Advertisement

Connor Chapman, 22, has been charged with her murder and a trial date has been set for 7 June.

Image: Elle's dad hopes a foundation in her name 'will be used for good' and help reduce gun violence

Elle's killing was the fifth shooting in Merseyside since August 2022 and Mr Edwards is hoping a foundation in her name will bring systemic change around gun violence.

""There's no winners with gun crime,"" he said.

""If you pick up a gun, your future is over and everybody else's future around you is over. It's dead simple. It's absolutely pointless and it solves nothing.

""I want to see a positive that comes out of this. Elle's name will be used for good in the future. She can't be forgotten,"" he added.

Image: Mr Edwards says his daughter was 'a fantastic human being with a heart of gold'

'Good memories spur you on'

Mr Edwards and his daughter spent time walking in the Lake District, as well as climbing mountains, and he said those memories are helping him grieve.

""They just keep you going, they keep your mind flowing. The good memories spur you on, I can even hear her laugh. It's emotional and it's horrible, it really is horrible, but hopefully those memories will never fade.""

Read more:

Man appears in court charged with Elle Edwards' murder

Mr Edwards said the fact Elle's life which was cut brutally short at 26 is the ""hardest part"" because she had so much ahead of her.

""She was just getting going,"" he told Sky News.

""She had her focus, she had her own ambitions, and she was achieving them and everything was set in place for her and it was just taken away, and that's sad.""

Elle's funeral will take place on 25 January in the town where she grew up, many hundreds are expected to line the streets to pay tribute.

""It's going to be terrible isn't it? It's not going to be nice,"" he said.

""But it's part of the process and it's something that has to be done. And then we move on to the next thing and keep going. But she will always be here. She'll never leave me. She'll live on forever.""";https://web.archive.org/web/20230120083210/http://news.sky.com/story/elle-edwards-dad-says-christmas-will-never-be-the-same-as-he-vows-to-set-up-anti-gun-foundation-in-her-name-12790540
9;Nadhim Zahawi: Labour writes to HMRC over former chancellor's tax dispute claims;Friday 20 January 2023 10:27, UK;['faye brown', '@fayebrownsky'];['nadhim zahawi'];['labour', 'mr', 'questions', 'paid', 'nadhim', 'tax', 'claims', 'chancellors', 'zahawi', 'hmrc', 'uk', 'public', 'rayner', 'writes', 'dispute', 'taxes'];"HMRC is facing pressure to reveal whether Nadhim Zahawi paid a penalty to the tax office after he reportedly agreed to hand over millions of pounds.

Labour has written to the government department arguing the ""public requires answers"" over the Tory chairman's tax affairs.

Questions have swirled following an article in The Sun on Sunday, which claimed a seven-figure payment was made by Mr Zahawi to end a dispute with the taxman ""after scrutiny of his family's financial affairs"".

Politics live: Teachers' unions and government meeting as thousands set to walk out on strike next month

The paper alleged there were questions over his use of an offshore company - a Gibraltar-registered family trust called Balshore Investments - to hold shares in the polling firm YouGov.

Mr Zahawi has previously denied he was a beneficiary of Balshore Investments.

Sky News has made a number of approaches to the Tory MP and his team to clarify the situation around the payment to HMRC, but he has still not revealed if the report is accurate.

Instead, we received a broader comment from the MP's spokesperson, who said his tax affairs ""were and are fully up to date and are paid in the UK"", adding: ""He has always said that he will answer any questions from HMRC as he always has done.""

Labour has already suggested that an inquiry might be required to look into the matter and the party has now submitted a series of questions to HMRC seeking clarity over the allegations.

Advertisement

HMRC has said it does not comment on individual cases, but Labour deputy leader Angela Rayner said ""given the public interest in this case as well as the serious questions raised about a potential conflict of interest at the heart of government, the public requires answers"".

""In particular, there appears to be an element of special treatment directed towards Nadhim Zahawi by HMRC,"" she claimed.

Ms Rayner called on HMRC to explain the nature of the payment and whether the former chancellor ""has admitted fault or incurred financial penalties as part of his settlement"".

A spokesman for Mr Zahawi has said his taxes are ""properly declared"" and he ""has never had to instruct any lawyers to deal with HMRC on his behalf"".

""As he has previously stated, Mr Zahawi's taxes are properly declared and paid in the UK,"" the spokesman said.

Rishi Sunak defended his colleague at Prime Minister's Questions (PMQs) on Wednesday, saying Mr Zahawi ""has already addressed this matter in full and there's nothing more that I can add"".

But Ms Rayner said: ""However much the prime minister claims the man he appointed Conservative Party Chair has already addressed this matter in full, there are serious and urgent questions that must be answered.""

Please use Chrome browser for a more accessible video player 0:34 Nadhim Zahawi: 'I was clearly being smeared'

Before entering politics, Mr Zahawi co-founded YouGov and is thought to have a net worth of around £100m.

Questions over his tax affairs have been raised before - namely ahead of his short tenure as chancellor in the closing days of Boris Johnson's premiership.

The Observer claimed civil servants in the Cabinet Office's propriety and ethics team alerted the prime minister to an HMRC ""flag"" over Mr Zahawi before his appointment, but Mr Johnson went ahead ""despite the possible concerns over his tax affairs"".

The minister claimed he was ""clearly being smeared"" in his campaign to become Conservative Party leader, telling Sky News he had ""always"" paid his taxes and had ""declared"" them in the UK.";https://web.archive.org/web/20230120101811/http://news.sky.com/story/nadhim-zahawi-labour-writes-to-hmrc-over-former-chancellors-tax-dispute-claims-12790822
