;Title;Date;Authors;Tags;NLP Keywords;Url
0;New Year's Eve live news: London welcomes 2022 with 'spectacular' fireworks display but people told 'don't go';;[];['covid', 'covid-19', 'coronavirus', 'live'];['tokyo', 'uks', 'spectacular', 'told', 'uk', 'tolls', 'dont', 'win', 'greenwich', 'london', 'fireworks', 'place', '2022', 'display', 'eve', 'west', 'took', 'welcomes', 'live', 'walked'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/new-years-eve-live-news-doctor-warns-lack-of-restrictions-on-parties-in-england-is-quite-risky-12506669
1;New Year Honours list: Whitty and Van-Tam knighted as scientists honoured for battle against COVID;Friday 31 December 2021 23:37, UK;['david mercer', '@davidmercersky'];[];['chief', 'covid', 'list', 'honoured', 'scientists', 'knighted', 'awarded', 'recipients', 'british', 'mbe', 'battle', 'vantam', 'sir', 'dr', 'whitty', 'order', 'honours'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/new-year-honours-list-whitty-and-van-tam-knighted-as-scientists-honoured-for-battle-against-covid-12506926
2;New Year Honours: Tony Blair awarded knighthood as Team GB stars and celebrities recognised;Friday 31 December 2021 22:53, UK;[];['tony blair'];['recognised', 'proud', 'team', 'awarded', 'blair', 'stars', 'prime', 'spice', 'mbe', 'tony', 'actress', 'paralympic', 'services', 'gb', 'knighthood', 'order', 'celebrities', 'honours'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/new-year-honours-tony-blair-awarded-knighthood-as-team-gb-stars-and-celebrities-recognised-12506900
3;Betty White, veteran actress who starred in The Golden Girls, dies shortly before 100th birthday;Friday 31 December 2021 22:55, UK;[];['betty white'];['girls', 'shortly', 'veteran', 'career', 'dies', 'tweeted', '31', 'white', 'betty', 'birthday', 'actress', 'live', 'starred', 'golden', 'television'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/betty-white-veteran-actress-who-starred-in-golden-girls-dies-shortly-before-100th-birthday-12506959
4;New Year's Eve around the world: How countries are celebrating with widespread COVID restrictions;Saturday 1 January 2022 00:20, UK;[];['covid-19'];['video', 'covid', 'fireworks', 'display', 'eve', 'place', 'light', 'world', 'countries', 'celebrating', 'took', '2022', 'gathered', 'restrictions', 'thousands', 'widespread'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/new-years-eve-around-the-world-how-countries-are-celebrating-with-widespread-covid-restrictions-12506928
5;Thursday's national newspaper front pages;;[];['newspapers'];['video', 'watch', 'pierce', 'pages', 'national', 'editor', 'preview', 'night', 'papers', 'papersyou', 'daily', 'thursdays', 'newspaper', 'press'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/sundays-national-newspaper-front-pages-12427754
6;COVID-19: UK reports 189,846 COVID-19 cases and 203 deaths in latest 24-hour period;Friday 31 December 2021 20:33, UK;['lucia binding', '@luciabinding'];['covid-19'];['covid', 'million', 'deaths', 'total', 'uk', '189846', 'reports', 'cases', 'figures', 'week', '24hour', 'covid19', '203', 'reported', 'latest', 'doses', 'number', 'previous', 'period'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/covid-19-uk-reports-189-846-covid-19-cases-and-203-deaths-in-latest-24-hour-period-12506893
7;New Zealand rings in New Year with fireworks and light show;Friday 31 December 2021 11:40, UK;[];[];['traffic', 'zealands', 'fireworks', 'system', 'light', 'zealand', 'showcrowds', 'orange', 'red', 'rings', 'moved'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/new-zealand-rings-in-new-year-with-fireworks-and-light-show-12506730
8;Rare tiger caught on camera with cubs;Thursday 30 December 2021 11:16, UK;[];['animals', 'russia'];['video', 'tiger', 'cubsthis', 'rare', 'seen', 'caught', 'camera', 'svetlana', 'hidden', 'russia', 'cubs'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/rare-tiger-caught-on-camera-with-cubs-12506199
9;Harry Potter 20th Anniversary: Return to Hogwarts trailer released;Thursday 30 December 2021 17:03, UK;[];['harry potter'];['series', 'harry', 'streaming', 'reunited', 'sky', 'potter', 'stars', 'release', 'tv', 'service', 'return', 'trailer', 'hogwarts', 'anniversary', 'released', 'stone', '20th'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/harry-potter-20th-anniversary-return-to-hogwarts-trailer-released-12506398
10;Oregon: Police car hit by sliding SUV on black ice;Thursday 30 December 2021 10:40, UK;[];['oregon'];['video', 'oregon', 'suv', 'ice', 'playerthe', 'black', 'chrome', 'check', 'hit', 'car', 'stopped', 'sliding', 'crash', 'officer'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/oregon-police-car-hit-by-sliding-suv-on-black-ice-12506190
11;Pubgoers in near miss as car ploughs into pub garden;Thursday 30 December 2021 20:07, UK;[];[];['pub', 'hounds', 'hare', 'miss', 'lancashire', 'near', 'car', 'skelmersdale', 'ploughs', 'pubgoers', 'garden'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/pubgoers-in-near-miss-as-car-ploughs-into-pub-garden-12506458
12;Australia: Watch moment wildlife catcher confronted with huge snake and giant spider in same bedroom;Thursday 30 December 2021 10:50, UK;[];[];['watch', 'wildlife', 'queensland', 'catcher', 'remove', 'moment', 'spider', 'huge', 'bedroom', 'giant', 'confronted', 'snake', 'property'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/australia-watch-moment-wildlife-catcher-confronted-with-huge-snake-and-giant-spider-in-same-bedroom-12505894
13;How to have your greenest Christmas dinner yet - video;Friday 24 December 2021 06:42, UK;[];['climate change'];['video', 'greenest', 'sustainable', 'dinner', 'christmas', 'heres', 'local', 'claims', 'investigating', 'packaging', 'videofrom'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/how-to-have-your-greenest-christmas-dinner-yet-video-12498418
14;COVID-19: A look at new COVID cases and hospital admissions in the UK;Wednesday 22 December 2021 20:40, UK;[];['covid-19'];['total', 'covid19', 'covid', 'uk', 'look', 'cases', 'ukas', 'yesterday', 'hospital', 'week', 'number', 'highest', 'admissions', 'earlier'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/covid-19-a-look-at-new-covid-cases-and-hospital-admissions-in-the-uk-12502342
15;COVID-19: Is there a 'Plan C' and what other restrictions might come into force in England?;Wednesday 22 December 2021 08:20, UK;[];['covid-19'];['england', 'covid19', 'spreading', 'come', 'faster', 'plan', 'force', 'work', 'masks', 'omicron', 'passes', 'restrictions', 'c', 'settings'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/covid-19-is-there-a-plan-c-and-what-other-restrictions-might-come-into-force-in-england-12498513
16;COVID-19: The booster vaccine versus the Omicron coronavirus variant;Thursday 16 December 2021 07:05, UK;[];['covid-19'];['covid19', 'vaccine', 'booster', 'vaccinated', 'variant', 'versus', 'sky', 'variantboris', 'omicron', 'potential', 'coronavirus', 'push'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/covid-19-the-booster-vaccine-versus-the-omicron-coronavirus-variant-12495298
17;Video: What can the UK learn from South Africa's fight against Omicron?;Sunday 12 December 2021 17:19, UK;[];[];['video', 'spreading', 'set', 'uk', 'variant', 'world', 'omicron', 'fight', 'rapidly', 'strain', 'omicronthe', 'learn', 'africas', 'south'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/video-what-can-the-uk-learn-from-south-africas-fight-against-omicron-12493815
