;index;Unnamed: 0.1;Unnamed: 0;Title;Date;Authors;Tags;NLP Keywords;Text;Url;Chat GPT
0;0;2869;2869;Teachers' strike to go ahead after education secretary 'squandered the opportunity' to avoid action, union says;Monday 30 January 2023 16:14, UK;[];['strikes'];['ahead', 'union', 'planned', 'squandered', 'avoid', 'secretary', 'opportunity', 'strike', 'education', 'action', 'talks', 'neu', 'pay', 'teachers'];"Talks between the education secretary and the teaching unions have failed and the biggest teachers' strike in years will go ahead.

Last-minute talks were held by Education Secretary Gillian Keegan on Monday in a bid to resolve a teachers' pay dispute ahead of planned strikes this week.

Members of the National Education Union (NEU) in England and Wales will now walk out on Wednesday, with more industrial action planned in the following weeks.

The strike on Wednesday is expected to encompass up to half-a-million workers with teachers due to be joined by train drivers, civil servants, university lecturers, bus drivers and security guards from seven trade unions in what will be the biggest day of industrial action in over a decade.

The NEU has announced seven days of strikes in England and Wales in February and March, with the walkout on Wednesday expected to affect over 23,000 schools.

Mary Bousted and Kevin Courtney, joint general secretaries of the NEU, said: ""Gillian Keegan has squandered an opportunity to avoid strike action on Wednesday.

""The government has been unwilling to seriously engage with the causes of strike action.

""Real-terms pay cuts and cuts in pay relativities are leading to a recruitment and retention crisis with which the Education Secretary so far seems incapable of getting a grip.

""Training targets are routinely missed, year on year. This is having consequences for learning, with disruption every day to children's education.""

Advertisement

In a separate comment, Mr Courtney said: ""I regret to say that we didn't hear anything that enables us to say that the strike shouldn't go ahead on Wednesday.

""There's no offer from the secretary of state trying to bridge the gap between us.""

Meanwhile, a headteachers' union boss has described the talks with Ms Keegan as ""deeply disappointing"".

Following the meeting with the education secretary, Geoff Barton, general secretary of the Association of School and College Leaders (ASCL), said: ""Parents will have been looking for the government to avert the planned strike on Wednesday.

""Instead, the government continues to talk around the issues rather than putting anything on the table which allows for any meaningful negotiation.

""It is deeply disappointing.""

Mr Barton added: ""We are sorry to report that there is therefore no resolution to the dispute and the strike is set to go ahead.""

The teachers' strike was confirmed shortly before British firefighters voted to carry out nationwide action in a dispute over pay.

About 88% of members of the Fire Brigades Union had voted in favour of strike action, on a 73% turnout, the union said.

Its members had rejected a 5% pay offer in November.";https://web.archive.org/web/20230130163220/http://news.sky.com/story/teachers-strike-to-go-ahead-after-education-secretary-squandered-the-opportunity-to-avoid-action-union-says-12799333;1
1;1;2870;2870;Rising public support for unions despite widespread strikes, Sky News poll suggests;Monday 30 January 2023 17:00, UK;['gurpreet narwan', '@gurpreetnarwan'];['strikes'];['workers', 'sky', 'widespread', 'sector', 'support', 'unions', 'nurses', 'suggests', 'poll', 'despite', 'strike', 'action', 'public', 'pay', 'rising', 'strikes'];"Support for trade unions is rising even though strike action is bringing public services to a standstill , Sky News polling shows.

Industrial relations are at their most fractious since the 1980s, with the country having lost more than a million working days to strikes last year.

Despite this, sympathy for striking public sector workers has risen over the past couple of months.

Exclusive polling commissioned by Sky News shows that the public increasingly think that trade unions play a positive role in society.

A survey of more than 2,000 adults found that 37% support unions, up from 35% in November.

A smaller proportion - 28% - said unions play a negative role in society, down from 34% in November.

The findings suggest that the government, which is refusing to deliver inflation-matched pay rises, may not be able to rely on waning support for strike action.

Support for unions has increased as the wave of strike action has spread from the transport and communication sectors to the NHS.

Ambulance workers, nurses and doctors have all either voted for or announced intentions to ballot for strike action since the last polling.

Advertisement

YouGov data shows that NHS workers elicit the strongest support from the public.

As many as 43% of respondents to the survey said they strongly support strike action by nurses, while another 22% said they somewhat support it.

Only 31% said they strongly or somewhat oppose industrial action from nurses.

Like many public sector workers, nurses have experienced a decade of real-term pay cuts.

When inflation is taken into account, nurses' pay fell by 7.76% between 2011 and 2020. The most recent pay deal, announced last summer, also lagged behind inflation.

It is a similar story across the public sector, with the pay gap between the public and private sector widening.

In the three months to October, average private sector pay growth, excluding bonuses, was running at 6.9%.

The figure for the public sector was just 2.7%. Meanwhile inflation was running at close to 11%.

The Sky News poll indicates robust support for industrial action but the public is uneasy about how readily unions can go on strike.

At a time when the government is pushing through legislation that will make it harder for unions to call strikes, 33% of respondents said that they were able to take action too easily and that more restrictions should be placed upon them.

This was down slightly from 34% in November.

By comparison, 22% of respondents said that unions should be given more freedom, up from 20% in November.

The YouGov/Sky News poll was carried out from 27-30 January, with 2,041 adults polled. The data is weighted to reflect the UK's population.";https://web.archive.org/web/20230130173217/http://news.sky.com/story/rising-public-support-for-unions-despite-widespread-strikes-sky-news-poll-suggests-12799325;1
2;2;2871;2871;Surrey fatal dog attack: 28-year-old victim is named as Natasha Johnston;Monday 30 January 2023 17:37, UK;[];['surrey'];['fatal', 'witness', 'dog', '28yearold', 'weekthe', 'walking', 'named', 'johnston', 'woman', 'unfoldedthe', 'womans', 'attack', 'dogs', 'victim', 'walkers', 'natasha', 'surrey'];"A 28-year-old woman who was killed by dogs in Surrey has been named.

Natasha Johnston, from London, is understood to have been walking a number of dogs in Gravelly Hill, Caterham, when she was attacked on 12 January.

An inquest into her death will open at Surrey Coroner's Court on Tuesday.

Eight dogs were seized at the scene and remain in police custody as forensic investigations continue.

None of the dogs are banned breeds, Surrey Police said.

A criminal investigation has been closed and no prosecutions are being brought against any individuals, the force said last week.

The woman's family have described it as an ""extremely difficult time"".

They said the ""significant level of media interest"" had caused ""additional distress"".

""We continue to appeal for our privacy to be respected during our time of grief,"" they added.

Advertisement

One witness to the attack told how the victim ""screamed at us to turn back"" as the incident unfolded.

The area was said to be popular with professional dog walkers.";https://web.archive.org/web/20230130173217/http://news.sky.com/story/surrey-fatal-dog-attack-28-year-old-victim-is-named-as-natasha-johnston-12796366;5
3;3;2872;2872;Laura Winham: Council failed to follow up on police concerns for vulnerable woman who lay dead in flat for years, says family;Monday 30 January 2023 17:12, UK;[];['surrey'];['dead', 'winhams', 'ms', 'vulnerable', 'lay', 'death', 'county', 'laura', 'council', 'failed', 'woman', 'winham', 'flat', 'family', 'review', 'follow', 'oraghallaigh', 'surrey'];"A 38-year-old vulnerable woman, whose body was found three years after her death, was ""abandoned and left to die"" by social and mental health services, according to her family.

Laura Winham's remains were found by her brother in her flat in Woking, Surrey, in May 2021, after she died in November 2017.

A pre-inquest review at Surrey Coroner's Court heard the county council failed to follow up on police concerns.

Kate O'Raghallaigh, representing the Winham family at the review, said Surrey police officers visited the woman's flat when she was still alive in October 2017.

She said the police reported concerns, that she had been neglecting herself and had little access to food, to Surrey County Council.

""There was a risk to Laura of malnutrition and self-neglect in October 2017 when she was observed by police,"" Ms O'Raghallaigh said.

But the council failed to follow up on these concerns, the hearing was told.

The inquest heard that the exact date of death is unknown - a calendar in Ms Winham's flat had dates crossed off until November 2017.

Her body was found in May 2021 - three-and-a-half years after her death - when Ms Winham's family said they asked police to break into her home after they grew concerned for her safety.

Advertisement

A cause of death has yet to be determined, which Ms O'Raghallaigh described as a ""very unusual factor in this case"".

Katie Ayers, representing the county council, said the authority accepts a care assessment for Ms Winham should have been done after the police visit.

Image: The first floor flat in Woking, Surrey where Laura Winham was found in a 'mummified almost skeletal state'

""What Surrey County Council has accepted is that a section nine check should have been completed but it was not,"" she said.

Ms Ayers added: ""There may have been a risk in relation to malnutrition. At this stage that would seem to be speculative.""

Ms O'Raghallaigh asked assistant coroner Dr Karen Henderson to engage a forensic anthropologist to investigate whether Ms Winham's death was caused by malnutrition and establish a window of time in which she may have died.

Dr Henderson said she will provide a written decision on the matter in the coming weeks.

She scheduled another pre-inquest review for 15 March and set a provisional full hearing date for 3 April.

The review previously heard that Ms Winham was found in a ""mummified almost skeletal state"".

Her sister Nicky Winham said the family was unable to maintain contact with her as years of schizophrenia had led her to believe they would harm her.";https://web.archive.org/web/20230130173217/http://news.sky.com/story/laura-winham-council-failed-to-follow-up-on-police-concerns-for-vulnerable-woman-who-lay-dead-in-flat-for-years-says-family-12799341;5
4;4;2873;2873;'Don't play games with us': Firefighters vote to strike for first time since 2003;Monday 30 January 2023 16:34, UK;[];['fire service', 'strikes', 'united kingdom'];['service', 'fbu', 'warned', 'voted', 'union', 'play', 'dont', 'firefighters', 'strike', 'wrack', '2003', 'vote', 'games'];"'Don't play games with us': Firefighters vote to strike for first time since 2003

Members of the Fire Brigades Union (FBU) voted for action in a ballot resulting in the UK's first nationwide fire service strike over pay since 2003. FBU General Secretary Matt Wrack told fire service employers to ""sit up and take notice"" and warned them not to ""play games"".";https://web.archive.org/web/20230130173217/http://news.sky.com/video/dont-play-games-with-us-firefighters-vote-to-strike-for-first-time-since-2003-12799345;1
5;5;2874;2874;Volodymyr Zelenskyy says Olympic efforts over Russian athletes participating in Paris tells world 'terror is acceptable';Monday 30 January 2023 15:57, UK;[];['ukraine', 'olympics'];['week', 'terror', 'olympic', 'participating', 'athletes', 'mr', 'tells', 'paris', 'zelenskyy', 'russia', 'world', 'president', 'efforts', 'russian', 'war', 'volodymyr'];"Ukrainian President Volodymyr Zelenskyy has said efforts to allow Russian athletes to perform at next year's Olympics in France is an attempt to tell the world that ""terror is somehow acceptable"".

Mr Zelesnkyy's strong comments came as he revealed he has sent a letter to French President Emmanuel Macron as part of his campaign to keep Russian athletes out of the Paris Olympic Games.

He also referred to the ""great Olympic mistake"" which saw Berlin stage the 1936 games when the Nazis were in power.

""The Olympic movement and terrorist states definitely should not cross paths,"" he said.

Last week, the International Olympic Committee (IOC) indicated the possibility of athletes from Russia and Belarus who have not openly supported the war to compete as neutrals in Paris.

Please use Chrome browser for a more accessible video player 6:35 Volodymyr Zelenskyy tells Sky News that his daily routine is mostly work, but he tries to read and exercise when he can

In his nightly address, Mr Zelenskyy said: ""Attempts by the International Olympic Committee to bring Russian athletes back into the Olympic Games are attempts to tell the whole world that terror is somehow acceptable.

""As if you could shut your eyes to what Russia is doing in Kherson, Kharkiv, Bakhmut and Avdiivka.""

He added Russia must not be allowed to ""use (the games) or any other sport event as propaganda for its aggression or its state chauvinism"".

Mr Zelenskyy spoke to Mr Macron last week and has continued his ""marathon of honesty"" to keep Russian athletes out of the Paris Games.

Advertisement

He said there could be no neutrality in sports at a time when his country's athletes fight and die in war.

Ukraine's sports minister warned on Thursday of the possibility of his country boycotting the Olympics.

Read more on Sky News:

Ukraine war - latest

Analysis - Zelenskyy not in the mood to compromise

This was followed by Mr Zelesnkyy's challenge to the IOC president Thomas Bach's softening stance on Russia.

""It is obvious that any neutral flag of Russian athletes is stained with blood,"" said the Ukrainian leader.

""I invite Mr Bach to Bakhmut - so that he could see with his own eyes that neutrality does not exist.""

In a statement on social media regarding ""ongoing consultations"", the IOC referred to athletes competing under a ""neutral flag"" at this month's Australian Open.

""Athletes competed in the tournament as individual athletes under a neutral flag without any identification of their country,"" said the IOC.

""The concept is well established, and also used in cycling and a number of professional leagues across North America and Europe.""

It added the ""principles upon which the concept is based are in line with the Olympic Charter"" and is ""respected"" across the world when there is ""war or other armed conflict"".

Last week, the British government said it is to summon opposition to Russian athletes being allowed to compete in Paris.";https://web.archive.org/web/20230130173217/http://news.sky.com/story/volodymyr-zelenskyy-says-olympic-efforts-over-russian-athletes-participating-in-paris-tells-world-terror-is-acceptable-12799208;6
6;6;2876;2876;British Army has 'fallen behind' and 'needed investment' - defence secretary;Monday 30 January 2023 18:13, UK;['sophie morris', '@itssophiemorris'];['army', 'ben wallace', 'rishi sunak'];['armed', 'wallace', 'army', 'investment', 'needed', 'forces', 'secretary', 'fallen', 'defence', 'fighting', 'video', 'equipment', 'war', 'british'];"Defence Secretary Ben Wallace has told Sky News that the British Army has ""fallen behind its peer group"" and ""needed investment"".

It comes after Sky News yesterday revealed a US general privately told Mr Wallace that the UK's armed forces are no longer regarded as a top-level fighting force.

Defence sources revealed the US general said this decline in war-fighting capability needed to be reversed faster than planned in the wake of Russia's war in Ukraine.

US criticism of UK military 'will be music to Putin's ears' - Ukraine war latest

They told Sky News' defence and security editor Deborah Haynes this should include increasing the defence budget by at least £3bn a year and halting a plan to shrink the size of the army further.

Mr Wallace agreed on the need for ""urgent recapitalisation"", but said the government was already investing £34bn into the army's equipment plan between now and 2033.

""The criticism of 'it needs to happen now' is these things don't 'happen now',"" he said. ""There's no magic wand, there's no factories whirring away like car factories where you just press buttons and they come.

""There are only about two countries on the earth that can sustain almost constant production lines - that's China and the United States. Of course we can seek to buy from abroad, but then there won't be a UK defence and aerospace industry and we won't be able to necessarily give our troops the exact equipment they want, so we always have to make that balance.""

Mr Wallace also said countries across Europe were facing ""challenges"" with their supply chains, adding: ""That is what that new money is going towards and that's why it is important to send a signal to industry to say we are investing - that's what we did with the defence command paper in 2020 and we will continue to do so.""

Advertisement

Is The Army Fighting Fit? Watch our special programme tonight at 7pm on Sky News

Read more:

US general warns British Army no longer top-level fighting force, defence sources reveal

Sending Ukraine tanks weakens UK forces, says Army's top general

UK orders thousands of new anti-tank weapons in £229m deal

Speaking in the Commons earlier, his defence minister James Heappey said Prime Minister Rishi Sunak and Chancellor Jeremy Hunt understand the army is ""in urgent need of recapitalisation"" and ""there is a budget coming"".

Downing Street said the PM still believes the British Army is a ""top-level fighting force"" despite the US general's warning.

Asked about the US general's private comments on Monday, the prime minister's official spokesman said ""yes"" to Mr Sunak believing that the British Army is a top-level fighting force.

He said the government is ""ensuring our armed forces have the equipment and capability they need to meet the threats of tomorrow including through a fully funded £242bn 10-year equipment plan"".

Please use Chrome browser for a more accessible video player 8:24 British army is still 'formidable'

Former secretary general of NATO, Lord Robertson, also disagreed with the US general's view.

He said: ""The fact is that the British armed forces might have been weakened recently but they are still a formidable fighting force - and I think our country can be proud of them.""

Earlier today, Conservative defence committee chairman Tobias Ellwood said people should be ""very concerned"" about the armed forces' current capabilities.

Please use Chrome browser for a more accessible video player 4:53 Tory MP: Army is in a 'dire state'

The senior Tory called on the government to reverse ""swathing cuts"" to the army because its equipment has become ""obsolete"".

Mr Ellwood said there had been ""huge investments"" into the Royal Navy and Royal Air Force in recent years, but added: ""The army is in a dire state.""

He continued: ""Our army is simply too small, we have cut down by 10,000 troops.

European powers like France and Germany have announced plans to boost defence spending significantly following Russia's full-scale invasion of Ukraine last year.

Please use Chrome browser for a more accessible video player 4:43 Why is the British Army shrinking?

Mr Sunak has yet to make any meaningful pledge to expand his defence coffers, instead pursuing a ""refresh"" of a review of defence policy that is due to be published on 7 March ahead of a spring budget that will signal whether there is any new money for the military.

The crisis in defence has been a generation in the making following repeated reductions in the size of the three armed services since the end of the Cold War by successive Conservative, coalition and Labour governments to save money for peacetime priorities.

Please use Chrome browser for a more accessible video player 3:40 British Army 'no longer top level'

In 2020, Boris Johnson, as prime minister, increased defence spending by £16bn - the biggest uplift since the Cold War, but not enough to plug the gaps.

Mr Sunak has so far resisted calls to follow his predecessor, Liz Truss, to lift defence spending to 3% of GDP by 2030 up from just over 2% at present.";https://web.archive.org/web/20230130181843/http://news.sky.com/story/british-army-has-fallen-behind-and-needed-investment-defence-secretary-12799230;2
7;7;2877;2877;Cladding scandal: Michael Gove pledges to 'force' developers to fix unsafe buildings;Monday 30 January 2023 18:05, UK;[];['grenfell'];['fix', 'repairing', 'unsafe', 'force', 'michael', 'buildings', 'playerhousing', 'gove', 'cladding', 'video', 'commit', 'pledges', 'developers', 'market', 'told', 'scandal'];"Please use Chrome browser for a more accessible video player

Housing developers have been told by Michael Gove to commit to repairing unsafe buildings or be banned from the market.";https://web.archive.org/web/20230130181843/http://news.sky.com/video/cladding-scandal-michael-gove-pledges-to-force-developers-to-fix-unsafe-buildings-12799375;6
8;8;2878;2878;Surprise drone attack on Iran was work of Israeli intelligence, US officials say;Monday 30 January 2023 17:49, UK;['dominic waghorn', '@dominicwaghorn'];['iran', 'israel', 'ukraine'];['intelligence', 'say', 'surprise', 'israeli', 'iran', 'officials', 'israels', 'russia', 'iranian', 'work', 'attack', 'military', 'operation', 'drone'];"A drone attack that caused a large explosion in the Iranian city of Isfahan was the work of Israel's intelligence agency, Mossad, according to US officials.

In a daring operation, Israeli agents appear to have launched the attack from within Iran.

A US intelligence official said on Sunday that Israel was behind the attack but the Israeli military declined to comment.

Pentagon spokesperson Brigadier General Patrick Ryder confirmed no US forces had been involved but also declined to comment further.

But an Israeli intelligence expert says there are signs the strike was an Israeli operation.

Israeli intelligence analyst Ronen Bergman told Sky News: ""The use of quadcopters is a very well-known stamp of Israeli intelligence and a source of concern for the Iranian regime because the short range of the drone means they were launched from inside Iran, highlighting Mossad's capabilities.""

Mr Bergman is a pre-eminent authority on Mossad and author of Rise and Kill First, the Secret History of Israel's Targeted Assassinations.

It is not clear how much damage was done by the drone attack.

Iran claims to have foiled the raid by shooting the drones down but Mr Bergman says Israel regards the operation to have been a success.

Advertisement

It has not been confirmed what was attacked, but footage shot by a witness in Isfahan shows a large blast at a military factory in the city.

The city is a centre of research and development for Iran's missile technology.

'Ukraine did warn you'

Israeli sources say the attack was unrelated to drone shipments to Russia.

Iran has been supplying Russia with cheap drones used to devastating effect on largely civilian targets in Ukraine.

Ukrainian government adviser Mykhailo Podolyak tweeted: ""Explosive night in Iran, Ukraine did warn you.""

Iran has summoned Ukraine's ambassador over the tweet.

Twitter Due to your consent preferences, you’re not able to view this. Open Privacy Options

Separately the Russian foreign ministry issued a statement condemning ""any provocative actions potentially capable of provoking an uncontrolled escalation of tension in an already far from calm region"".

The attack is the first known use of force inside Iran to be carried out by Israel under its new far-right coalition government led by Benjamin Netanyahu.

But it suggests he is prepared to continue the hawkish policies of his predecessor Naftali Bennett who advocated a new ""Octopus Doctrine"" to deal with Iran.

Instead of striking at the Iranian regime's many ""tentacles"" in the region, it advocates striking at its head.

Read more world news

Suicide bomber kills at least 47 in Pakistan mosque attack

Kremlin denies Johnson's claim Putin threatened to kill him

First New Zealand rugby player comes out as gay

Mossad appears to have developed a significant presence inside Iran if it can carry out short range drone attacks on secret Iranian military sites with apparent impunity.

Israel has been reluctant to directly help Ukraine in a military sense, even though Russia is using weapons supplied by Israel's enemies in Iran.

Israel does not want to alienate Russia and lose Russian permission to fly military sorties over Syria.

But this latest operation will please Kyiv if it has dented Iran's missile capability.

Iran is thought to be considering supplying Russia with more advanced missiles than the drones it is currently sending.";https://web.archive.org/web/20230130181843/http://news.sky.com/story/surprise-drone-attack-on-iran-was-work-of-israeli-intelligence-us-officials-say-12799304;2
9;9;2879;2879;British Army has 'fallen behind' and 'needs investment' - defence secretary;Monday 30 January 2023 18:36, UK;['sophie morris', '@itssophiemorris'];['army', 'ben wallace', 'rishi sunak'];['armed', 'wallace', 'army', 'investment', 'forces', 'secretary', 'defence', 'fallen', 'fighting', 'video', 'equipment', 'war', 'needs', 'british'];"Defence Secretary Ben Wallace has told Sky News that the British Army has ""fallen behind its peer group"" and ""needs investment"".

It comes after Sky News yesterday revealed a US general privately told Mr Wallace that the UK's armed forces are no longer regarded as a top-level fighting force.

Defence sources revealed the US general said this decline in war-fighting capability needed to be reversed faster than planned in the wake of Russia's war in Ukraine.

US criticism of UK military 'will be music to Putin's ears' - Ukraine war latest

They told Sky News' defence and security editor Deborah Haynes this should include increasing the defence budget by at least £3bn a year and halting a plan to shrink the size of the army further.

Mr Wallace agreed on the need for ""urgent recapitalisation"", but said the government was already investing £34bn into the army's equipment plan between now and 2033.

""The criticism of 'it needs to happen now' is these things don't 'happen now',"" he said. ""There's no magic wand, there's no factories whirring away like car factories where you just press buttons and they come.

""There are only about two countries on the earth that can sustain almost constant production lines - that's China and the United States. Of course we can seek to buy from abroad, but then there won't be a UK defence and aerospace industry and we won't be able to necessarily give our troops the exact equipment they want, so we always have to make that balance.""

Mr Wallace also said countries across Europe were facing ""challenges"" with their supply chains, adding: ""That is what that new money is going towards and that's why it is important to send a signal to industry to say we are investing - that's what we did with the defence command paper in 2020 and we will continue to do so.""

Advertisement

Is The Army Fighting Fit? Watch our special programme tonight at 7pm on Sky News

Read more:

US general warns British Army no longer top-level fighting force, defence sources reveal

Sending Ukraine tanks weakens UK forces, says Army's top general

UK orders thousands of new anti-tank weapons in £229m deal

Speaking in the Commons earlier, his defence minister James Heappey said Prime Minister Rishi Sunak and Chancellor Jeremy Hunt understand the army is ""in urgent need of recapitalisation"" and ""there is a budget coming"".

Downing Street said the PM still believes the British Army is a ""top-level fighting force"" despite the US general's warning.

Asked about the US general's private comments on Monday, the prime minister's official spokesman said ""yes"" to Mr Sunak believing that the British Army is a top-level fighting force.

He said the government is ""ensuring our armed forces have the equipment and capability they need to meet the threats of tomorrow including through a fully funded £242bn 10-year equipment plan"".

Please use Chrome browser for a more accessible video player 8:24 British army is still 'formidable'

Former secretary general of NATO, Lord Robertson, also disagreed with the US general's view.

He said: ""The fact is that the British armed forces might have been weakened recently but they are still a formidable fighting force - and I think our country can be proud of them.""

Earlier today, Conservative defence committee chairman Tobias Ellwood said people should be ""very concerned"" about the armed forces' current capabilities.

Please use Chrome browser for a more accessible video player 4:53 Tory MP: Army is in a 'dire state'

The senior Tory called on the government to reverse ""swathing cuts"" to the army because its equipment has become ""obsolete"".

Mr Ellwood said there had been ""huge investments"" into the Royal Navy and Royal Air Force in recent years, but added: ""The army is in a dire state.""

He continued: ""Our army is simply too small, we have cut down by 10,000 troops.

European powers like France and Germany have announced plans to boost defence spending significantly following Russia's full-scale invasion of Ukraine last year.

Please use Chrome browser for a more accessible video player 4:43 Why is the British Army shrinking?

Mr Sunak has yet to make any meaningful pledge to expand his defence coffers, instead pursuing a ""refresh"" of a review of defence policy that is due to be published on 7 March ahead of a spring budget that will signal whether there is any new money for the military.

The crisis in defence has been a generation in the making following repeated reductions in the size of the three armed services since the end of the Cold War by successive Conservative, coalition and Labour governments to save money for peacetime priorities.

Please use Chrome browser for a more accessible video player 3:40 British Army 'no longer top level'

In 2020, Boris Johnson, as prime minister, increased defence spending by £16bn - the biggest uplift since the Cold War, but not enough to plug the gaps.

Mr Sunak has so far resisted calls to follow his predecessor, Liz Truss, to lift defence spending to 3% of GDP by 2030 up from just over 2% at present.";https://web.archive.org/web/20230130184749/http://news.sky.com/story/british-army-has-fallen-behind-and-needs-investment-defence-secretary-12799230;2
