date;Energy;Gillingham;Heart disease;Bonds;air travel;isPartial
2023-01-01;43;5;1;11;1;False
2023-01-02;50;8;1;16;1;False
2023-01-03;63;5;2;23;1;False
2023-01-04;70;5;2;27;1;False
2023-01-05;69;5;1;15;1;False
2023-01-06;64;6;2;12;1;False
2023-01-07;42;28;1;8;1;False
2023-01-08;48;6;1;9;1;False
2023-01-09;74;5;1;10;1;False
2023-01-10;81;5;2;10;1;False
2023-01-11;68;6;2;8;1;False
2023-01-12;74;6;2;10;1;False
2023-01-13;60;6;2;8;1;False
2023-01-14;43;9;1;7;1;False
2023-01-15;41;5;1;7;1;False
2023-01-16;72;5;1;10;1;False
2023-01-17;72;4;2;9;1;False
2023-01-18;80;4;2;9;1;False
2023-01-19;71;5;2;7;1;False
2023-01-20;65;5;1;8;1;False
2023-01-21;44;8;1;7;1;False
2023-01-22;46;4;1;7;1;False
2023-01-23;100;5;2;8;1;False
2023-01-24;84;5;2;12;1;False
2023-01-25;76;4;2;16;1;False
2023-01-26;70;4;2;10;1;False
2023-01-27;59;4;1;9;1;False
2023-01-28;40;8;1;7;1;False
2023-01-29;41;5;2;8;1;False
2023-01-30;69;5;2;10;1;False
2023-01-31;70;5;2;13;1;False
