date;Travelling with disabilities;ryanair;Medicare Australia;debt;air travel;isPartial
2023-01-01;0;81;0;13;4;False
2023-01-02;0;89;0;18;4;False
2023-01-03;0;91;0;30;3;False
2023-01-04;0;85;0;31;4;False
2023-01-05;0;92;0;30;3;False
2023-01-06;0;91;0;29;3;False
2023-01-07;0;80;0;20;2;False
2023-01-08;0;100;0;18;4;False
2023-01-09;0;93;0;29;2;False
2023-01-10;0;91;0;32;4;False
2023-01-11;0;84;0;28;4;False
2023-01-12;0;91;0;31;3;False
2023-01-13;0;80;0;29;3;False
2023-01-14;0;81;0;22;3;False
2023-01-15;0;93;0;21;3;False
2023-01-16;0;92;0;35;3;False
2023-01-17;0;86;0;36;3;False
2023-01-18;0;81;1;33;4;False
2023-01-19;0;79;0;38;3;False
2023-01-20;0;84;1;38;3;False
2023-01-21;0;84;0;22;3;False
2023-01-22;0;99;0;17;3;False
2023-01-23;0;96;0;35;3;False
2023-01-24;0;87;0;33;3;False
2023-01-25;0;84;0;33;4;False
2023-01-26;0;80;0;32;3;False
2023-01-27;0;83;0;27;2;False
2023-01-28;0;81;0;19;3;False
2023-01-29;0;93;0;18;3;False
2023-01-30;0;86;0;34;5;False
2023-01-31;0;81;0;34;4;False
