date;Unemployment and employment statistics;Harrison Ford;manchester united;Humanitarian response;air travel;isPartial
2023-01-01;0;6;19;0;1;False
2023-01-02;0;2;25;0;1;False
2023-01-03;0;1;54;0;1;False
2023-01-04;0;1;24;0;1;False
2023-01-05;0;1;22;0;1;False
2023-01-06;0;1;56;0;1;False
2023-01-07;0;3;25;0;1;False
2023-01-08;0;2;25;0;1;False
2023-01-09;0;1;22;0;1;False
2023-01-10;0;1;58;0;1;False
2023-01-11;0;1;25;0;1;False
2023-01-12;0;2;23;0;1;False
2023-01-13;0;1;23;0;1;False
2023-01-14;0;1;100;0;1;False
2023-01-15;0;2;27;0;1;False
2023-01-16;0;1;20;0;1;False
2023-01-17;0;1;21;0;1;False
2023-01-18;0;1;51;0;1;False
2023-01-19;0;1;22;0;1;False
2023-01-20;0;1;17;0;1;False
2023-01-21;0;2;22;0;1;False
2023-01-22;0;2;86;0;1;False
2023-01-23;0;1;20;0;1;False
2023-01-24;0;1;19;0;1;False
2023-01-25;0;1;56;0;1;False
2023-01-26;0;1;24;0;1;False
2023-01-27;0;2;21;0;1;False
2023-01-28;0;2;55;0;1;False
2023-01-29;0;2;23;0;1;False
2023-01-30;0;1;20;0;1;False
2023-01-31;0;1;28;0;1;False
