date;Solitary confinement ;Miami;Hepatitis C;US military;air travel;isPartial
2023-01-01;0;91;1;3;9;False
2023-01-02;0;65;1;4;10;False
2023-01-03;0;70;4;5;7;False
2023-01-04;1;60;2;4;10;False
2023-01-05;0;60;2;2;8;False
2023-01-06;0;65;1;3;8;False
2023-01-07;0;65;3;4;6;False
2023-01-08;1;90;0;3;10;False
2023-01-09;1;60;1;3;6;False
2023-01-10;1;65;1;3;9;False
2023-01-11;0;62;3;3;10;False
2023-01-12;0;56;2;4;8;False
2023-01-13;2;60;2;3;7;False
2023-01-14;2;66;1;3;6;False
2023-01-15;1;100;1;4;7;False
2023-01-16;0;62;2;2;8;False
2023-01-17;1;58;2;1;6;False
2023-01-18;1;55;2;1;9;False
2023-01-19;0;63;2;3;8;False
2023-01-20;0;61;3;4;7;False
2023-01-21;1;67;2;2;7;False
2023-01-22;1;63;3;4;8;False
2023-01-23;1;60;2;2;8;False
2023-01-24;1;59;3;3;6;False
2023-01-25;0;58;1;5;8;False
2023-01-26;0;54;3;3;8;False
2023-01-27;0;56;2;1;5;False
2023-01-28;0;64;2;4;7;False
2023-01-29;2;67;1;3;7;False
2023-01-30;0;59;2;6;11;False
2023-01-31;2;55;2;6;9;False
