date;Privatisation;Ordnance Survey;Opioids crisis;Sausages;air travel;isPartial
2023-01-01;0;7;0;90;16;False
2023-01-02;4;13;0;80;19;False
2023-01-03;0;12;1;79;12;False
2023-01-04;7;7;2;80;18;False
2023-01-05;9;9;2;82;15;False
2023-01-06;5;6;1;78;15;False
2023-01-07;4;4;0;78;11;False
2023-01-08;3;7;0;91;17;False
2023-01-09;5;9;0;80;10;False
2023-01-10;4;9;0;75;16;False
2023-01-11;3;12;1;66;19;False
2023-01-12;6;9;0;72;15;False
2023-01-13;3;11;4;82;12;False
2023-01-14;0;8;0;84;12;False
2023-01-15;0;12;0;93;14;False
2023-01-16;6;11;0;73;14;False
2023-01-17;2;9;0;82;12;False
2023-01-18;3;10;0;78;17;False
2023-01-19;2;9;0;69;15;False
2023-01-20;4;7;0;67;12;False
2023-01-21;4;12;0;84;13;False
2023-01-22;4;5;0;94;14;False
2023-01-23;2;10;0;85;15;False
2023-01-24;6;13;0;77;11;False
2023-01-25;4;9;0;75;16;False
2023-01-26;2;11;0;72;14;False
2023-01-27;3;11;0;62;10;False
2023-01-28;2;6;0;83;14;False
2023-01-29;3;7;0;100;12;False
2023-01-30;3;6;2;74;21;False
2023-01-31;3;12;0;76;17;False
