date;MRSA and superbugs;Health;Auckland;afghanistan;air travel;isPartial
2023-01-01;0;39;3;2;1;False
2023-01-02;0;59;4;2;1;False
2023-01-03;0;86;4;1;1;False
2023-01-04;0;78;4;2;1;False
2023-01-05;0;79;4;2;1;False
2023-01-06;0;73;3;3;1;False
2023-01-07;0;46;3;2;1;False
2023-01-08;0;52;3;2;1;False
2023-01-09;0;79;3;2;1;False
2023-01-10;0;80;3;2;1;False
2023-01-11;0;80;3;2;1;False
2023-01-12;0;87;3;2;1;False
2023-01-13;0;69;3;2;1;False
2023-01-14;0;48;3;1;1;False
2023-01-15;0;55;3;2;1;False
2023-01-16;0;77;3;2;1;False
2023-01-17;0;82;3;2;1;False
2023-01-18;0;83;3;2;1;False
2023-01-19;0;74;3;2;1;False
2023-01-20;0;73;3;2;1;False
2023-01-21;0;47;3;1;1;False
2023-01-22;0;49;3;2;1;False
2023-01-23;0;81;3;1;1;False
2023-01-24;0;100;3;2;1;False
2023-01-25;0;80;3;2;1;False
2023-01-26;0;77;3;2;1;False
2023-01-27;0;67;10;1;0;False
2023-01-28;0;44;11;1;1;False
2023-01-29;0;50;8;2;1;False
2023-01-30;0;89;6;2;1;False
2023-01-31;0;81;5;1;1;False
